Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Gonzo's Quest,1,26,NetEnt,IT,2021-02-25,gonzosquest,netent
Starburst,2,26,NetEnt,IT,2021-02-25,starburst,netent
Book of Dead,3,21,Play'n Go,IT,2021-02-25,bookofdead,playngo
Book of Ra deluxe,4,17,Greentube,IT,2021-02-25,bookofradeluxe,greentube
Blood Suckers,5,24,NetEnt,IT,2021-02-25,bloodsuckers,netent
The Big Easy,6,4,IGT,IT,2021-02-25,thebigeasy,igt
Fruit Shop Megaways,7,4,NetEnt,IT,2021-02-25,fruitshopmegaways,netent
Bonanza,8,19,Big Time Gaming,IT,2021-02-25,bonanza,bigtimegaming
Immortal Romance,9,11,Microgaming,IT,2021-02-25,immortalromance,microgaming
Wolf Gold,10,13,Pragmatic Play,IT,2021-02-25,wolfgold,pragmaticplay
Moon Princess,11,19,Play'n Go,IT,2021-02-25,moonprincess,playngo
Joker's Jewels,12,16,Pragmatic Play,IT,2021-02-25,jokersjewels,pragmaticplay
Sweet Bonanza,13,14,Pragmatic Play,IT,2021-02-25,sweetbonanza,pragmaticplay
Power Blackjack,14,14,Evolution Gaming,IT,2021-02-25,powerblackjack,evolutiongaming
Ecuador Gold,15,14,ELK Studios,IT,2021-02-25,ecuadorgold,elkstudios
Route 777,16,14,ELK Studios,IT,2021-02-25,route777,elkstudios
Win Win,17,14,ELK Studios,IT,2021-02-25,winwin,elkstudios
Visitors,18,14,ELK Studios,IT,2021-02-25,visitors,elkstudios
Treasures of the Pyramids,19,14,IGT,IT,2021-02-25,treasuresofthepyramids,igt
Twin Spin,20,18,NetEnt,IT,2021-02-25,twinspin,netent
Deal or no Deal World,21,18,Endemol Shine Gaming,IT,2021-02-25,dealornodealworld,endemolshinegaming
Gold Diggers,22,9,Betsoft,IT,2021-02-25,golddiggers,betsoft
Gonzo's Quest Megaways,23,9,Red Tiger,IT,2021-02-25,gonzosquestmegaways,redtiger
Side Bet City,24,9,Evolution Gaming,IT,2021-02-25,sidebetcity,evolutiongaming
