Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Moon Princess,1,68,Play'n Go,JP,2021-02-25,moonprincess,playngo
Book of Dead,2,77,Play'n Go,JP,2021-02-25,bookofdead,playngo
Hawaiian Dream,3,33,JTG,JP,2021-02-25,hawaiiandream,jtg
Wolf Gold,4,77,Pragmatic Play,JP,2021-02-25,wolfgold,pragmaticplay
Gonzo's Quest Megaways,5,64,Red Tiger,JP,2021-02-25,gonzosquestmegaways,redtiger
Reactoonz,6,67,Play'n Go,JP,2021-02-25,reactoonz,playngo
Starburst,7,81,NetEnt,JP,2021-02-25,starburst,netent
Sweet Bonanza,8,71,Pragmatic Play,JP,2021-02-25,sweetbonanza,pragmaticplay
Lightning Roulette,9,50,Evolution Gaming,JP,2021-02-25,lightningroulette,evolutiongaming
Oiran Dream,10,37,JTG,JP,2021-02-25,oirandream,jtg
Adventures Of Doubloon Island,11,49,Triple Edge Studios,JP,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Crazy Time,12,44,Evolution Gaming,JP,2021-02-25,crazytime,evolutiongaming
Money Train 2,13,46,Relax Gaming,JP,2021-02-25,moneytrain2,relaxgaming
The Paying Piano Club,14,47,Play'n Go,JP,2021-02-25,thepayingpianoclub,playngo
Piggy Riches Megaways,15,58,Red Tiger,JP,2021-02-25,piggyrichesmegaways,redtiger
Joker King,16,44,Pragmatic Play,JP,2021-02-25,jokerking,pragmaticplay
The Dog House Megaways,17,66,Pragmatic Play,JP,2021-02-25,thedoghousemegaways,pragmaticplay
Tome of Madness,18,62,Play'n Go,JP,2021-02-25,tomeofmadness,playngo
John Hunter And The Book Of Tut,19,67,Pragmatic Play,JP,2021-02-25,johnhunterandthebookoftut,pragmaticplay
100 Bit Dice,20,13,4ThePlayer,JP,2021-02-25,100bitdice,4theplayer
Gonzo's Quest,21,75,NetEnt,JP,2021-02-25,gonzosquest,netent
Rise Of Olympus,22,67,Play'n Go,JP,2021-02-25,riseofolympus,playngo
Mega Moolah,23,44,Microgaming,JP,2021-02-25,megamoolah,microgaming
