Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Joker King,1,19,Pragmatic Play,KR,2021-02-25,jokerking,pragmaticplay
Bounty Belles,2,15,iSoftBet,KR,2021-02-25,bountybelles,isoftbet
Skulls Heap,3,15,GONG Gaming Technologies,KR,2021-02-25,skullsheap,gonggamingtechnologies
Rome The Golden Age,4,15,NetEnt,KR,2021-02-25,romethegoldenage,netent
Real Roulette with Bailey,5,15,Real Dealer Studios,KR,2021-02-25,realroulettewithbailey,realdealerstudios
3 Devils Pinball,6,13,Crazy Tooth Studio,KR,2021-02-25,3devilspinball,crazytoothstudio
Thunder Screech,7,12,Play'n Go,KR,2021-02-25,thunderscreech,playngo
Dinosaur Rage,8,11,Quickspin,KR,2021-02-25,dinosaurrage,quickspin
Cupid,9,13,Endorphina,KR,2021-02-25,cupid,endorphina
Book of Dead,10,20,Play'n Go,KR,2021-02-25,bookofdead,playngo
Diamond Blast Zone,11,10,Leander Games,KR,2021-02-25,diamondblastzone,leandergames
Single Deck Blackjack MH,12,11,Play'n Go,KR,2021-02-25,singledeckblackjackmh,playngo
European Blackjack MH (Play'n Go),13,11,Play'n Go,KR,2021-02-25,europeanblackjackmh,playngo
Double Exposure Blackjack MH (Play'n Go),14,11,Play'n Go,KR,2021-02-25,doubleexposureblackjackmh,playngo
Multifire Roulette,15,13,Switch Studios,KR,2021-02-25,multifireroulette,switchstudios
Real Roulette with Caroline,16,13,Real Dealer Studios,KR,2021-02-25,realroulettewithcaroline,realdealerstudios
Viking Runecraft Bingo,17,14,Play'n Go,KR,2021-02-25,vikingrunecraftbingo,playngo
Park Bingo,18,14,Play'n Go,KR,2021-02-25,parkbingo,playngo
Hot Bingo,19,14,Play'n Go,KR,2021-02-25,hotbingo,playngo
Super Bola Bingo,20,14,Play'n Go,KR,2021-02-25,superbolabingo,playngo
Wolf Gold,21,23,Pragmatic Play,KR,2021-02-25,wolfgold,pragmaticplay
Lightning Roulette,22,12,Evolution Gaming,KR,2021-02-25,lightningroulette,evolutiongaming
Take The Bank,23,17,Betsoft,KR,2021-02-25,takethebank,betsoft
Book of Sun: Choice,24,15,Booongo,KR,2021-02-25,bookofsunchoice,booongo
Book of Gods (BF games),25,5,BF games,KR,2021-02-25,bookofgods,bfgames
Book Of Aztec,26,10,Amatic Industries,KR,2021-02-25,bookofaztec,amaticindustries
All Ways Fruits,27,10,Amatic Industries,KR,2021-02-25,allwaysfruits,amaticindustries
Cleo's Gold,28,19,Platipus,KR,2021-02-25,cleosgold,platipus
Elephant Stampede,29,8,Ruby Play,KR,2021-02-25,elephantstampede,rubyplay
Book Of Tribes Reloaded,30,15,Spinomenal,KR,2021-02-25,bookoftribesreloaded,spinomenal
DJ Remix,31,8,Virtual Tech,KR,2021-02-25,djremix,virtualtech
Lucky 7 Betsoft,32,16,Betsoft,KR,2021-02-25,lucky7betsoft,betsoft
Plata o Plomo,33,9,Spinmatic,KR,2021-02-25,plataoplomo,spinmatic
Potion Trick,34,9,Espresso Games,KR,2021-02-25,potiontrick,espressogames
Sakura Fortune,35,20,Quickspin,KR,2021-02-25,sakurafortune,quickspin
Buffalo Blitz,36,11,Playtech,KR,2021-02-25,buffaloblitz,playtech
Christmas Candy,37,9,KA Gaming,KR,2021-02-25,christmascandy,kagaming
Assassin Moon,38,14,Triple Edge Studios,KR,2021-02-25,assassinmoon,tripleedgestudios
Lovely Lady Deluxe,39,6,Amatic Industries,KR,2021-02-25,lovelyladydeluxe,amaticindustries
6 Tokens of Gold,40,16,All41 Studios,KR,2021-02-25,6tokensofgold,all41studios
Wealth of Wisdom,41,13,Platipus,KR,2021-02-25,wealthofwisdom,platipus
1st of the Irish,42,14,Red Rake,KR,2021-02-25,1stoftheirish,redrake
Book of Egypt,43,18,Platipus,KR,2021-02-25,bookofegypt,platipus
Book Of Rebirth Reloaded,44,19,Spinomenal,KR,2021-02-25,bookofrebirthreloaded,spinomenal
Joker Gems,45,17,ELK Studios,KR,2021-02-25,jokergems,elkstudios
Jade Valley,46,17,Platipus,KR,2021-02-25,jadevalley,platipus
Bonanza,47,19,Big Time Gaming,KR,2021-02-25,bonanza,bigtimegaming
Adventures Of Doubloon Island,48,12,Triple Edge Studios,KR,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
The Paying Piano Club,49,13,Play'n Go,KR,2021-02-25,thepayingpianoclub,playngo
Crazy Time,50,7,Evolution Gaming,KR,2021-02-25,crazytime,evolutiongaming
An Escape from Alcatraz,51,14,Belatra Games,KR,2021-02-25,anescapefromalcatraz,belatragames
Bison Trail,52,19,Platipus,KR,2021-02-25,bisontrail,platipus
Aztec Magic Deluxe,53,17,BGAMING,KR,2021-02-25,aztecmagicdeluxe,bgaming
Lucky Bank Robbers,54,14,Belatra Games,KR,2021-02-25,luckybankrobbers,belatragames
Age of the Gods,55,8,Playtech,KR,2021-02-25,ageofthegods,playtech
Madame Destiny Megaways,56,16,Pragmatic Play,KR,2021-02-25,madamedestinymegaways,pragmaticplay
Crystal Sun,57,16,Play'n Go,KR,2021-02-25,crystalsun,playngo
Aztec Coins,58,16,Platipus,KR,2021-02-25,azteccoins,platipus
Ice Valley,59,14,EGT,KR,2021-02-25,icevalley,egt
10 Burning Heart,60,14,EGT,KR,2021-02-25,10burningheart,egt
The Ancient Four,61,16,Platipus,KR,2021-02-25,theancientfour,platipus
5 Lions Gold,62,23,Pragmatic Play,KR,2021-02-25,5lionsgold,pragmaticplay
The Dog House,63,22,Pragmatic Play,KR,2021-02-25,thedoghouse,pragmaticplay
Dragon's Element,64,16,Platipus,KR,2021-02-25,dragonselement,platipus
Inferno Star,65,13,Play'n Go,KR,2021-02-25,infernostar,playngo
Sweet Bonanza,66,19,Pragmatic Play,KR,2021-02-25,sweetbonanza,pragmaticplay
Mustang Gold,67,21,Pragmatic Play,KR,2021-02-25,mustanggold,pragmaticplay
