Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Elephant Stampede,1,5,Ruby Play,KZ,2021-02-25,elephantstampede,rubyplay
Divine Fortune,2,16,NetEnt,KZ,2021-02-25,divinefortune,netent
Super 15 Stars,3,7,Red Rake,KZ,2021-02-25,super15stars,redrake
Sizzling 777 Deluxe,4,10,Wazdan,KZ,2021-02-25,sizzling777deluxe,wazdan
Wild Animals,5,9,Red Rake,KZ,2021-02-25,wildanimals,redrake
Unicorn Reels,6,7,Wazdan,KZ,2021-02-25,unicornreels,wazdan
Loco Habanero,7,6,Ruby Play,KZ,2021-02-25,locohabanero,rubyplay
Dead or Alive 2,8,19,NetEnt,KZ,2021-02-25,deadoralive2,netent
Space Wars,9,15,NetEnt,KZ,2021-02-25,spacewars,netent
Divine Fortune Megaways,10,14,NetEnt,KZ,2021-02-25,divinefortunemegaways,netent
Twin Spin Megaways,11,9,NetEnt,KZ,2021-02-25,twinspinmegaways,netent
Howling Wolves,12,11,Booming Games,KZ,2021-02-25,howlingwolves,boominggames
Vegas Wins,13,10,Booming Games,KZ,2021-02-25,vegaswins,boominggames
Wild Wild West,14,16,NetEnt,KZ,2021-02-25,wildwildwest,netent
Dark King Forbidden Riches,15,13,NetEnt,KZ,2021-02-25,darkkingforbiddenriches,netent
Million 777,16,9,Red Rake,KZ,2021-02-25,million777,redrake
Fruit Shop Megaways,17,12,NetEnt,KZ,2021-02-25,fruitshopmegaways,netent
Gold Vein,18,11,Booming Games,KZ,2021-02-25,goldvein,boominggames
Nordic Wild,19,5,Genii,KZ,2021-02-25,nordicwild,genii
7 Chakras,20,5,Genii,KZ,2021-02-25,7chakras,genii
Mother Of Horus,21,10,Red Rake,KZ,2021-02-25,motherofhorus,redrake
Pyramid: Quest for Immortality,22,15,NetEnt,KZ,2021-02-25,pyramidquestforimmortality,netent
Mayan Cache,23,6,Ruby Play,KZ,2021-02-25,mayancache,rubyplay
Koi Princess,24,15,NetEnt,KZ,2021-02-25,koiprincess,netent
Hot Blizzard,25,12,Tom Horn Gaming,KZ,2021-02-25,hotblizzard,tomhorngaming
Gold X,26,8,Tom Horn Gaming,KZ,2021-02-25,goldx,tomhorngaming
Sweet Crush,27,9,Tom Horn Gaming,KZ,2021-02-25,sweetcrush,tomhorngaming
Butterfly Lovers,28,10,Wazdan,KZ,2021-02-25,butterflylovers,wazdan
Dragons of the North,29,5,Pariplay,KZ,2021-02-25,dragonsofthenorth,pariplay
Magic Stars 6,30,10,Wazdan,KZ,2021-02-25,magicstars6,wazdan
Wolf Sierra,31,9,Tom Horn Gaming,KZ,2021-02-25,wolfsierra,tomhorngaming
