Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starz Megaways,1,4,Pragmatic Play,LT,2021-02-25,starzmegaways,pragmaticplay
Book of Dead,2,4,Play'n Go,LT,2021-02-25,bookofdead,playngo
Starburst,3,4,NetEnt,LT,2021-02-25,starburst,netent
Book of Ra deluxe,4,4,Greentube,LT,2021-02-25,bookofradeluxe,greentube
9 Lions,5,4,Wazdan,LT,2021-02-25,9lions,wazdan
Big Bad Wolf,6,4,Quickspin,LT,2021-02-25,bigbadwolf,quickspin
Gonzo's Quest,7,4,NetEnt,LT,2021-02-25,gonzosquest,netent
Fire'n'Hot,8,4,Tom Horn Gaming,LT,2021-02-25,firenhot,tomhorngaming
The Ninja,9,4,Endorphina,LT,2021-02-25,theninja,endorphina
Xmas Joker,10,4,Play'n Go,LT,2021-02-25,xmasjoker,playngo
Butterfly Lovers,11,4,Wazdan,LT,2021-02-25,butterflylovers,wazdan
Hotline,12,4,NetEnt,LT,2021-02-25,hotline,netent
3 Hand Casino Hold'Em (Play'n Go),13,4,Play'n Go,LT,2021-02-25,3handcasinoholdem,playngo
Crystal Sun,14,4,Play'n Go,LT,2021-02-25,crystalsun,playngo
Rich World,15,4,EGT,LT,2021-02-25,richworld,egt
Legacy of Dead,16,4,Play'n Go,LT,2021-02-25,legacyofdead,playngo
Mystery Joker,17,4,Play'n Go,LT,2021-02-25,mysteryjoker,playngo
Perfect Gems,18,4,Play'n Go,LT,2021-02-25,perfectgems,playngo
The Dog House,19,4,Pragmatic Play,LT,2021-02-25,thedoghouse,pragmaticplay
Frozen Queen,20,4,Tom Horn Gaming,LT,2021-02-25,frozenqueen,tomhorngaming
Northern Sky,21,4,Quickspin,LT,2021-02-25,northernsky,quickspin
Crystal Queen,22,4,Quickspin,LT,2021-02-25,crystalqueen,quickspin
Blazing Ice,23,4,SYNOT,LT,2021-02-25,blazingice,synot
Secrets of Christmas,24,4,NetEnt,LT,2021-02-25,secretsofchristmas,netent
Route 777,25,4,ELK Studios,LT,2021-02-25,route777,elkstudios
Wild North,26,4,Play'n Go,LT,2021-02-25,wildnorth,playngo
Butterfly Staxx 2,27,4,NetEnt,LT,2021-02-25,butterflystaxx2,netent
Curse of the Werewolf Megaways,28,4,Pragmatic Play,LT,2021-02-25,curseofthewerewolfmegaways,pragmaticplay
Vikings Go Berzerk,29,0,Yggdrasil,LT,2021-02-25,vikingsgoberzerk,yggdrasil
The Dog House Megaways,30,4,Pragmatic Play,LT,2021-02-25,thedoghousemegaways,pragmaticplay
Fire Dragon,31,4,RTG,LT,2021-02-25,firedragon,rtg
Fruit Awards,32,4,SYNOT,LT,2021-02-25,fruitawards,synot
Book of Ra deluxe 6,33,4,Greentube,LT,2021-02-25,bookofradeluxe6,greentube
Thimbles,34,4,Evoplay Entertainment,LT,2021-02-25,thimbles,evoplayentertainment
Happy Halloween,35,4,Play'n Go,LT,2021-02-25,happyhalloween,playngo
Golden Fish Tank,36,4,Yggdrasil,LT,2021-02-25,goldenfishtank,yggdrasil
Imperial Fruits: 100 Lines,37,4,Playson,LT,2021-02-25,imperialfruits100lines,playson
Hot to Burn,38,4,Reel Kingdom,LT,2021-02-25,hottoburn,reelkingdom
Fruity Crown,39,4,Playson,LT,2021-02-25,fruitycrown,playson
Magic Maid Cafe,40,4,NetEnt,LT,2021-02-25,magicmaidcafe,netent
Aladdin and the Golden Palace,41,4,SYNOT,LT,2021-02-25,aladdinandthegoldenpalace,synot
Pirates 2: Mutiny,42,4,Yggdrasil,LT,2021-02-25,pirates2mutiny,yggdrasil
Sakura Fortune,43,4,Quickspin,LT,2021-02-25,sakurafortune,quickspin
Buffalo Power Hold and Win,44,4,Playson,LT,2021-02-25,buffalopowerholdandwin,playson
Gorilla Kingdom,45,4,NetEnt,LT,2021-02-25,gorillakingdom,netent
Valley Of The Gods,46,4,Yggdrasil,LT,2021-02-25,valleyofthegods,yggdrasil
Sunny Fruits: Hold and Win,47,4,Playson,LT,2021-02-25,sunnyfruitsholdandwin,playson
Wild Toro,48,4,ELK Studios,LT,2021-02-25,wildtoro,elkstudios
Rise of Maya,49,4,NetEnt,LT,2021-02-25,riseofmaya,netent
Hades Gigablox,50,4,Yggdrasil,LT,2021-02-25,hadesgigablox,yggdrasil
Guns N' Roses,51,5,NetEnt,LT,2021-02-25,gunsnroses,netent
Super Burning Wins: Respin,52,5,Playson,LT,2021-02-25,superburningwinsrespin,playson
PopRocks,53,5,AvatarUX Studios,LT,2021-02-25,poprocks,avataruxstudios
Respin Joker,54,5,SYNOT,LT,2021-02-25,respinjoker,synot
