Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Ra deluxe,1,6,Greentube,LV,2021-02-25,bookofradeluxe,greentube
Book of Dead,2,5,Play'n Go,LV,2021-02-25,bookofdead,playngo
Miss Wildfire,3,5,ELK Studios,LV,2021-02-25,misswildfire,elkstudios
40 Super Hot,4,4,EGT,LV,2021-02-25,40superhot,egt
Fruit Shop Megaways,5,5,NetEnt,LV,2021-02-25,fruitshopmegaways,netent
Book of Ra,6,5,Greentube,LV,2021-02-25,bookofra,greentube
100 Super Hot,7,5,EGT,LV,2021-02-25,100superhot,egt
Divine Fortune,8,4,NetEnt,LV,2021-02-25,divinefortune,netent
Sizzling Hot deluxe,9,5,Greentube,LV,2021-02-25,sizzlinghotdeluxe,greentube
Sherlock Bones,10,4,Electric Elephant,LV,2021-02-25,sherlockbones,electricelephant
Lucky Lady's Charm deluxe,11,4,Greentube,LV,2021-02-25,luckyladyscharmdeluxe,greentube
Mysterious Egypt,12,4,Pragmatic Play,LV,2021-02-25,mysteriousegypt,pragmaticplay
Divine Fortune Megaways,13,4,NetEnt,LV,2021-02-25,divinefortunemegaways,netent
Dead or Alive 2,14,4,NetEnt,LV,2021-02-25,deadoralive2,netent
Book of Ra deluxe 6,15,4,Greentube,LV,2021-02-25,bookofradeluxe6,greentube
Burning Hot,16,4,EGT,LV,2021-02-25,burninghot,egt
Ancient Dynasty,17,4,EGT,LV,2021-02-25,ancientdynasty,egt
Aztec Gold Extra Gold Megaways,18,4,iSoftBet,LV,2021-02-25,aztecgoldextragoldmegaways,isoftbet
Joker Action 6,19,4,Greentube,LV,2021-02-25,jokeraction6,greentube
Book of Gems Megaways,20,4,Skywind Group,LV,2021-02-25,bookofgemsmegaways,skywindgroup
Lord Merlin and the Lady of the Lake,21,4,Play'n Go,LV,2021-02-25,lordmerlinandtheladyofthelake,playngo
5 Juggle Fruits,22,4,EGT,LV,2021-02-25,5jugglefruits,egt
Crystal Sun,23,4,Play'n Go,LV,2021-02-25,crystalsun,playngo
Neptunes Fortune Megaways,24,4,iSoftBet,LV,2021-02-25,neptunesfortunemegaways,isoftbet
Cat Wilde and the Eclipse of the Sun God,25,4,Play'n Go,LV,2021-02-25,catwildeandtheeclipseofthesungod,playngo
Dinosaur Rage,26,4,Quickspin,LV,2021-02-25,dinosaurrage,quickspin
Epic Crystal,27,4,Epic Industries,LV,2021-02-25,epiccrystal,epicindustries
Pirate Gold,28,4,Pragmatic Play,LV,2021-02-25,pirategold,pragmaticplay
Treasures of Aztec,29,0,PG Soft,LV,2021-02-25,treasuresofaztec,pgsoft
Pirate Gold Deluxe,30,0,Pragmatic Play,LV,2021-02-25,pirategolddeluxe,pragmaticplay
Jackpot Raiders,31,0,Yggdrasil,LV,2021-02-25,jackpotraiders,yggdrasil
Genie Jackpots Megaways,32,0,Blueprint,LV,2021-02-25,geniejackpotsmegaways,blueprint
Diamond Joker,33,0,Games Inc,LV,2021-02-25,diamondjoker,gamesinc
Imperial Riches,34,0,NetEnt,LV,2021-02-25,imperialriches,netent
Jokers Luck,35,0,Skywind Group,LV,2021-02-25,jokersluck,skywindgroup
Piggy Bank 1x2,36,0,1X2gaming,LV,2021-02-25,piggybank1x2,1x2gaming
Jazz of New Orleans,37,0,Play'n Go,LV,2021-02-25,jazzofneworleans,playngo
Bounty Belles,38,0,iSoftBet,LV,2021-02-25,bountybelles,isoftbet
Mega Hot Egypt,39,0,Games Inc,LV,2021-02-25,megahotegypt,gamesinc
Rocket Money,40,0,Games Inc,LV,2021-02-25,rocketmoney,gamesinc
Aloha! Christmas,41,0,NetEnt,LV,2021-02-25,alohachristmas,netent
Spin & Win,42,0,Play'n Go,LV,2021-02-25,spinwin,playngo
Vegas Night Life,43,0,NetEnt,LV,2021-02-25,vegasnightlife,netent
Reel Royalty: Jewels of the Nile,44,0,Slot Factory,LV,2021-02-25,reelroyaltyjewelsofthenile,slotfactory
Redneck Riches,45,0,Games Inc,LV,2021-02-25,redneckriches,gamesinc
Random Winner Triple Play Slot,46,0,Games Inc,LV,2021-02-25,randomwinnertripleplayslot,gamesinc
Cowboy Treasure Deluxe,47,0,Games Inc,LV,2021-02-25,cowboytreasuredeluxe,gamesinc
Mega Ball First Person,48,0,Evolution Gaming,LV,2021-02-25,megaballfirstperson,evolutiongaming
First Person Roulette,49,0,Evolution Gaming,LV,2021-02-25,firstpersonroulette,evolutiongaming
First Person Blackjack (Evolution Gaming),50,0,Evolution Gaming,LV,2021-02-25,firstpersonblackjack,evolutiongaming
First Person Dream Catcher,51,0,Evolution Gaming,LV,2021-02-25,firstpersondreamcatcher,evolutiongaming
Premium Blackjack Single Hand,52,0,Playtech,LV,2021-02-25,premiumblackjacksinglehand,playtech
Sweet Bonanza,53,0,Pragmatic Play,LV,2021-02-25,sweetbonanza,pragmaticplay
Disco Danny,54,0,NetEnt,LV,2021-02-25,discodanny,netent
Twin Spin Megaways,55,0,NetEnt,LV,2021-02-25,twinspinmegaways,netent
Wolf Gold,56,0,Pragmatic Play,LV,2021-02-25,wolfgold,pragmaticplay
Butterfly Lovers,57,0,Wazdan,LV,2021-02-25,butterflylovers,wazdan
My Lucky Number,58,0,Hacksaw Gaming,LV,2021-02-25,myluckynumber,hacksawgaming
Starburst,59,5,NetEnt,LV,2021-02-25,starburst,netent
Book of Spies Mission X,60,5,Spearhead Studios,LV,2021-02-25,bookofspiesmissionx,spearheadstudios
Dark King Forbidden Riches,61,5,NetEnt,LV,2021-02-25,darkkingforbiddenriches,netent
Rick and Morty Megaways,62,5,Blueprint,LV,2021-02-25,rickandmortymegaways,blueprint
