Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,13,Play'n Go,MT,2021-02-25,bookofdead,playngo
Gonzo's Quest Megaways,2,10,Red Tiger,MT,2021-02-25,gonzosquestmegaways,redtiger
Big Bass Bonanza,3,10,Reel Kingdom,MT,2021-02-25,bigbassbonanza,reelkingdom
Reactoonz,4,10,Play'n Go,MT,2021-02-25,reactoonz,playngo
The Paying Piano Club,5,8,Play'n Go,MT,2021-02-25,thepayingpianoclub,playngo
Wolf Gold,6,9,Pragmatic Play,MT,2021-02-25,wolfgold,pragmaticplay
Lightning Roulette,7,12,Evolution Gaming,MT,2021-02-25,lightningroulette,evolutiongaming
Joker King,8,7,Pragmatic Play,MT,2021-02-25,jokerking,pragmaticplay
Starburst,9,12,NetEnt,MT,2021-02-25,starburst,netent
Razor Shark,10,8,Push Gaming,MT,2021-02-25,razorshark,pushgaming
Legacy of Dead,11,12,Play'n Go,MT,2021-02-25,legacyofdead,playngo
Bonanza,12,12,Big Time Gaming,MT,2021-02-25,bonanza,bigtimegaming
Adventures Of Doubloon Island,13,10,Triple Edge Studios,MT,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Immortal Romance,14,13,Microgaming,MT,2021-02-25,immortalromance,microgaming
Crazy Time,15,7,Evolution Gaming,MT,2021-02-25,crazytime,evolutiongaming
Sakura Fortune,16,9,Quickspin,MT,2021-02-25,sakurafortune,quickspin
Deadwood,17,10,Nolimit City,MT,2021-02-25,deadwood,nolimitcity
Cosmic Gems,18,4,2by2 Gaming,MT,2021-02-25,cosmicgems,2by2gaming
Piggy Riches Megaways,19,9,Red Tiger,MT,2021-02-25,piggyrichesmegaways,redtiger
Money Train 2,20,8,Relax Gaming,MT,2021-02-25,moneytrain2,relaxgaming
Sphinx Fortune,21,4,Booming Games,MT,2021-02-25,sphinxfortune,boominggames
Temple Tumble,22,9,Relax Gaming,MT,2021-02-25,templetumble,relaxgaming
Big Money Frenzy,23,5,Blueprint,MT,2021-02-25,bigmoneyfrenzy,blueprint
