Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Buffalo Blitz,1,5,Playtech,MX,2021-02-25,buffaloblitz,playtech
Wolf Gold,2,5,Pragmatic Play,MX,2021-02-25,wolfgold,pragmaticplay
Age of the Gods God of Storms,3,4,Playtech Vikings,MX,2021-02-25,ageofthegodsgodofstorms,playtechvikings
Neros Fortune,4,4,Quickspin,MX,2021-02-25,nerosfortune,quickspin
Age of the Gods,5,4,Playtech,MX,2021-02-25,ageofthegods,playtech
Legacy of the Wild,6,4,Playtech Vikings,MX,2021-02-25,legacyofthewild,playtechvikings
Golden Glyph,7,4,Quickspin,MX,2021-02-25,goldenglyph,quickspin
Age of the Gods: Mighty Midas,8,4,Playtech Origins,MX,2021-02-25,ageofthegodsmightymidas,playtechorigins
Nian,9,4,KA Gaming,MX,2021-02-25,nian,kagaming
Epic Ape,10,4,Playtech,MX,2021-02-25,epicape,playtech
Spin Bingo,11,4,ZITRO,MX,2021-02-25,spinbingo,zitro
White King,12,4,Playtech,MX,2021-02-25,whiteking,playtech
Sun of Ra,13,4,Ruby Play,MX,2021-02-25,sunofra,rubyplay
Powermania Bonus Bingo,14,4,ZITRO,MX,2021-02-25,powermaniabonusbingo,zitro
Egyptian Sun,15,4,Ruby Play,MX,2021-02-25,egyptiansun,rubyplay
Gonzo's Quest Megaways,16,4,Red Tiger,MX,2021-02-25,gonzosquestmegaways,redtiger
Dragon Champions,17,4,Playtech,MX,2021-02-25,dragonchampions,playtech
Plenty O' Fortune,18,4,Playtech,MX,2021-02-25,plentyofortune,playtech
Arcane Beauties,19,4,Ruby Play,MX,2021-02-25,arcanebeauties,rubyplay
Gladiator JP,20,4,Playtech,MX,2021-02-25,gladiatorjp,playtech
Dragon 8s 25x,21,4,Ruby Play,MX,2021-02-25,dragon8s25x,rubyplay
The Perfect Heist,22,4,Playtech,MX,2021-02-25,theperfectheist,playtech
Buffalo Rising Megaways,23,4,Blueprint,MX,2021-02-25,buffalorisingmegaways,blueprint
The Wild Hatter,24,4,Red Tiger,MX,2021-02-25,thewildhatter,redtiger
Star Gods,25,4,Golden Rock Studios,MX,2021-02-25,stargods,goldenrockstudios
Top Trumps Football Stars,26,4,Playtech,MX,2021-02-25,toptrumpsfootballstars,playtech
Piggy Riches Megaways,27,4,Red Tiger,MX,2021-02-25,piggyrichesmegaways,redtiger
RoboCop,28,4,Playtech,MX,2021-02-25,robocop,playtech
Tiki Paradise,29,0,Playtech,MX,2021-02-25,tikiparadise,playtech
Phoenix Sun,30,0,Quickspin,MX,2021-02-25,phoenixsun,quickspin
