Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
The Paying Piano Club,1,8,Play'n Go,MY,2021-02-25,thepayingpianoclub,playngo
Agent 51,2,8,Kalamba Games,MY,2021-02-25,agent51,kalambagames
Elemental Princess,3,5,Dream Tech,MY,2021-02-25,elementalprincess,dreamtech
Aztec Gems,4,12,Pragmatic Play,MY,2021-02-25,aztecgems,pragmaticplay
Fire 88,5,11,Pragmatic Play,MY,2021-02-25,fire88,pragmaticplay
Caishen's Cash,6,11,Pragmatic Play,MY,2021-02-25,caishenscash,pragmaticplay
OYeah!,7,6,Concept Gaming,MY,2021-02-25,oyeah,conceptgaming
High Roller Bonanza,8,6,Golden Hero,MY,2021-02-25,highrollerbonanza,goldenhero
Sevens & Books,9,4,Gamomat,MY,2021-02-25,sevensbooks,gamomat
Reel Diamonds,10,6,1X2gaming,MY,2021-02-25,reeldiamonds,1x2gaming
Book of Dead,11,10,Play'n Go,MY,2021-02-25,bookofdead,playngo
Assassin Moon,12,10,Triple Edge Studios,MY,2021-02-25,assassinmoon,tripleedgestudios
Forgotten Island Megaways,13,10,All41 Studios,MY,2021-02-25,forgottenislandmegaways,all41studios
Book Of Rebirth Reloaded,14,9,Spinomenal,MY,2021-02-25,bookofrebirthreloaded,spinomenal
Goddess Of Lotus,15,10,Spinomenal,MY,2021-02-25,goddessoflotus,spinomenal
Lucky Bank Robbers,16,7,Belatra Games,MY,2021-02-25,luckybankrobbers,belatragames
Divine Dragon: Hold and Win,17,8,Playson,MY,2021-02-25,divinedragonholdandwin,playson
Prissy Princess,18,11,Play'n Go,MY,2021-02-25,prissyprincess,playngo
6 Tokens of Gold,19,9,All41 Studios,MY,2021-02-25,6tokensofgold,all41studios
Carnaval Jackpot,20,8,Pulse 8 Studios,MY,2021-02-25,carnavaljackpot,pulse8studios
Fruit Million,21,8,BGAMING,MY,2021-02-25,fruitmillion,bgaming
Buffalo Power Hold and Win,22,8,Playson,MY,2021-02-25,buffalopowerholdandwin,playson
Elvis Frog in Vegas,23,8,BGAMING,MY,2021-02-25,elvisfroginvegas,bgaming
Chicago Gold,24,9,PearFiction,MY,2021-02-25,chicagogold,pearfiction
Arena of Gold,25,5,All41 Studios,MY,2021-02-25,arenaofgold,all41studios
Adventures Of Doubloon Island,26,6,Triple Edge Studios,MY,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Starburst,27,10,NetEnt,MY,2021-02-25,starburst,netent
Rome The Golden Age,28,5,NetEnt,MY,2021-02-25,romethegoldenage,netent
