Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,40,Play'n Go,NL,2021-02-25,bookofdead,playngo
Starburst,2,43,NetEnt,NL,2021-02-25,starburst,netent
The Paying Piano Club,3,30,Play'n Go,NL,2021-02-25,thepayingpianoclub,playngo
Adventures Of Doubloon Island,4,21,Triple Edge Studios,NL,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Legacy of Dead,5,39,Play'n Go,NL,2021-02-25,legacyofdead,playngo
Joker King,6,25,Pragmatic Play,NL,2021-02-25,jokerking,pragmaticplay
Gonzo's Quest,7,40,NetEnt,NL,2021-02-25,gonzosquest,netent
Fire Joker,8,32,Play'n Go,NL,2021-02-25,firejoker,playngo
Bonanza,9,40,Big Time Gaming,NL,2021-02-25,bonanza,bigtimegaming
Wolf Gold,10,37,Pragmatic Play,NL,2021-02-25,wolfgold,pragmaticplay
Reactoonz,11,37,Play'n Go,NL,2021-02-25,reactoonz,playngo
Lightning Roulette,12,21,Evolution Gaming,NL,2021-02-25,lightningroulette,evolutiongaming
Sphinx Fortune,13,20,Booming Games,NL,2021-02-25,sphinxfortune,boominggames
TikiPop,14,12,AvatarUX Studios,NL,2021-02-25,tikipop,avataruxstudios
Sweet Bonanza,15,34,Pragmatic Play,NL,2021-02-25,sweetbonanza,pragmaticplay
Crazy Time,16,23,Evolution Gaming,NL,2021-02-25,crazytime,evolutiongaming
Cosmic Gems,17,13,2by2 Gaming,NL,2021-02-25,cosmicgems,2by2gaming
Take Olympus,18,18,Betsoft,NL,2021-02-25,takeolympus,betsoft
Divine Fortune,19,37,NetEnt,NL,2021-02-25,divinefortune,netent
Lovely Lady Deluxe,20,16,Amatic Industries,NL,2021-02-25,lovelyladydeluxe,amaticindustries
Piggy Riches Megaways,21,34,Red Tiger,NL,2021-02-25,piggyrichesmegaways,redtiger
Reactoonz 2,22,35,Play'n Go,NL,2021-02-25,reactoonz2,playngo
Thunder Screech,23,26,Play'n Go,NL,2021-02-25,thunderscreech,playngo
6 Tokens of Gold,24,24,All41 Studios,NL,2021-02-25,6tokensofgold,all41studios
Rise of Merlin,25,40,Play'n Go,NL,2021-02-25,riseofmerlin,playngo
The Dog House Megaways,26,34,Pragmatic Play,NL,2021-02-25,thedoghousemegaways,pragmaticplay
Skulls Heap,27,10,GONG Gaming Technologies,NL,2021-02-25,skullsheap,gonggamingtechnologies
Hyper Strike,28,32,Gameburger Studios,NL,2021-02-25,hyperstrike,gameburgerstudios
