Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,305,Play'n Go,NO,2021-02-25,bookofdead,playngo
Starburst,2,338,NetEnt,NO,2021-02-25,starburst,netent
Bonanza,3,326,Big Time Gaming,NO,2021-02-25,bonanza,bigtimegaming
Gonzo's Quest,4,321,NetEnt,NO,2021-02-25,gonzosquest,netent
Fire Joker,5,277,Play'n Go,NO,2021-02-25,firejoker,playngo
Gonzo's Quest Megaways,6,229,Red Tiger,NO,2021-02-25,gonzosquestmegaways,redtiger
Legacy of Dead,7,281,Play'n Go,NO,2021-02-25,legacyofdead,playngo
Wolf Gold,8,283,Pragmatic Play,NO,2021-02-25,wolfgold,pragmaticplay
Lightning Roulette,9,217,Evolution Gaming,NO,2021-02-25,lightningroulette,evolutiongaming
The Paying Piano Club,10,230,Play'n Go,NO,2021-02-25,thepayingpianoclub,playngo
Reactoonz,11,269,Play'n Go,NO,2021-02-25,reactoonz,playngo
Crazy Time,12,194,Evolution Gaming,NO,2021-02-25,crazytime,evolutiongaming
Twin Spin,13,303,NetEnt,NO,2021-02-25,twinspin,netent
Mystery Joker,14,247,Play'n Go,NO,2021-02-25,mysteryjoker,playngo
Adventures Of Doubloon Island,15,133,Triple Edge Studios,NO,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Joker King,16,154,Pragmatic Play,NO,2021-02-25,jokerking,pragmaticplay
Piggy Riches Megaways,17,274,Red Tiger,NO,2021-02-25,piggyrichesmegaways,redtiger
Divine Fortune,18,268,NetEnt,NO,2021-02-25,divinefortune,netent
Reactoonz 2,19,254,Play'n Go,NO,2021-02-25,reactoonz2,playngo
Sweet Bonanza,20,269,Pragmatic Play,NO,2021-02-25,sweetbonanza,pragmaticplay
TikiPop,21,87,AvatarUX Studios,NO,2021-02-25,tikipop,avataruxstudios
Mega Moolah,22,143,Microgaming,NO,2021-02-25,megamoolah,microgaming
Jackpot 6000,23,176,NetEnt,NO,2021-02-25,jackpot6000,netent
The Dog House Megaways,24,254,Pragmatic Play,NO,2021-02-25,thedoghousemegaways,pragmaticplay
Cat Wilde and the Eclipse of the Sun God,25,213,Play'n Go,NO,2021-02-25,catwildeandtheeclipseofthesungod,playngo
Monopoly Live,26,109,Evolution Gaming,NO,2021-02-25,monopolylive,evolutiongaming
Big Money Frenzy,27,93,Blueprint,NO,2021-02-25,bigmoneyfrenzy,blueprint
3 Devils Pinball,28,136,Crazy Tooth Studio,NO,2021-02-25,3devilspinball,crazytoothstudio
The Dog House,29,266,Pragmatic Play,NO,2021-02-25,thedoghouse,pragmaticplay
Rise Of Olympus,30,259,Play'n Go,NO,2021-02-25,riseofolympus,playngo
Thunder Screech,31,202,Play'n Go,NO,2021-02-25,thunderscreech,playngo
Madame Destiny Megaways,32,179,Pragmatic Play,NO,2021-02-25,madamedestinymegaways,pragmaticplay
Sakura Fortune,33,239,Quickspin,NO,2021-02-25,sakurafortune,quickspin
Big Bass Bonanza,34,186,Reel Kingdom,NO,2021-02-25,bigbassbonanza,reelkingdom
Immortal Romance,35,238,Microgaming,NO,2021-02-25,immortalromance,microgaming
Razor Shark,36,175,Push Gaming,NO,2021-02-25,razorshark,pushgaming
Jack and the Beanstalk,37,259,NetEnt,NO,2021-02-25,jackandthebeanstalk,netent
