Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,93,Play'n Go,NZ,2021-02-25,bookofdead,playngo
Starburst,2,100,NetEnt,NZ,2021-02-25,starburst,netent
Wolf Gold,3,90,Pragmatic Play,NZ,2021-02-25,wolfgold,pragmaticplay
Gonzo's Quest Megaways,4,73,Red Tiger,NZ,2021-02-25,gonzosquestmegaways,redtiger
Lightning Roulette,5,63,Evolution Gaming,NZ,2021-02-25,lightningroulette,evolutiongaming
Piggy Riches Megaways,6,76,Red Tiger,NZ,2021-02-25,piggyrichesmegaways,redtiger
Gonzo's Quest,7,90,NetEnt,NZ,2021-02-25,gonzosquest,netent
The Paying Piano Club,8,61,Play'n Go,NZ,2021-02-25,thepayingpianoclub,playngo
Bonanza,9,92,Big Time Gaming,NZ,2021-02-25,bonanza,bigtimegaming
John Hunter And The Book Of Tut,10,80,Pragmatic Play,NZ,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Mega Moolah,11,30,Microgaming,NZ,2021-02-25,megamoolah,microgaming
Joker King,12,45,Pragmatic Play,NZ,2021-02-25,jokerking,pragmaticplay
Crazy Time,13,59,Evolution Gaming,NZ,2021-02-25,crazytime,evolutiongaming
The Dog House Megaways,14,76,Pragmatic Play,NZ,2021-02-25,thedoghousemegaways,pragmaticplay
Skulls Heap,15,32,GONG Gaming Technologies,NZ,2021-02-25,skullsheap,gonggamingtechnologies
Book of Oz,16,72,Triple Edge Studios,NZ,2021-02-25,bookofoz,tripleedgestudios
Fire Joker,17,72,Play'n Go,NZ,2021-02-25,firejoker,playngo
Trillionaire,18,31,Red Tiger,NZ,2021-02-25,trillionaire,redtiger
Reactoonz,19,78,Play'n Go,NZ,2021-02-25,reactoonz,playngo
Ruler of Egypt,20,13,Lady Luck Games,NZ,2021-02-25,rulerofegypt,ladyluckgames
Break da Bank Again,21,55,Microgaming,NZ,2021-02-25,breakdabankagain,microgaming
Fancy Fruits,22,38,Gamomat,NZ,2021-02-25,fancyfruits,gamomat
Weight of the Gun,23,13,Lady Luck Games,NZ,2021-02-25,weightofthegun,ladyluckgames
Ramses Book,24,36,Gamomat,NZ,2021-02-25,ramsesbook,gamomat
