Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Wolf Gold,1,24,Pragmatic Play,PE,2021-02-25,wolfgold,pragmaticplay
Gonzo's Quest Megaways,2,27,Red Tiger,PE,2021-02-25,gonzosquestmegaways,redtiger
Book of Dead,3,18,Play'n Go,PE,2021-02-25,bookofdead,playngo
Ramses Book,4,14,Gamomat,PE,2021-02-25,ramsesbook,gamomat
Starburst,5,30,NetEnt,PE,2021-02-25,starburst,netent
Lightning Roulette,6,22,Evolution Gaming,PE,2021-02-25,lightningroulette,evolutiongaming
Crazy Time,7,22,Evolution Gaming,PE,2021-02-25,crazytime,evolutiongaming
Ruler of Egypt,8,11,Lady Luck Games,PE,2021-02-25,rulerofegypt,ladyluckgames
Fancy Fruits,9,13,Gamomat,PE,2021-02-25,fancyfruits,gamomat
Weight of the Gun,10,11,Lady Luck Games,PE,2021-02-25,weightofthegun,ladyluckgames
Crystal Ball,11,13,Gamomat,PE,2021-02-25,crystalball,gamomat
Sweet Bonanza,12,25,Pragmatic Play,PE,2021-02-25,sweetbonanza,pragmaticplay
Royal Seven XXL,13,13,Gamomat,PE,2021-02-25,royalsevenxxl,gamomat
La Mina de Oro Plus,14,13,MGA,PE,2021-02-25,laminadeoroplus,mga
Quantum Roulette,15,13,Playtech,PE,2021-02-25,quantumroulette,playtech
Piggy Riches Megaways,16,27,Red Tiger,PE,2021-02-25,piggyrichesmegaways,redtiger
Roman Power,17,15,SpinPlay Games,PE,2021-02-25,romanpower,spinplaygames
The Demon Code,18,6,NextGen,PE,2021-02-25,thedemoncode,nextgen
Wild Diamond 7x,19,19,Booming Games,PE,2021-02-25,wilddiamond7x,boominggames
John Hunter Tomb of the Scarab Queen,20,23,Pragmatic Play,PE,2021-02-25,johnhuntertombofthescarabqueen,pragmaticplay
Le Kaffee Bar,21,16,All41 Studios,PE,2021-02-25,lekaffeebar,all41studios
Fancy Fruits Respins Of Amun-Re,22,12,Gamomat,PE,2021-02-25,fancyfruitsrespinsofamunre,gamomat
Sticky Diamonds,23,12,Gamomat,PE,2021-02-25,stickydiamonds,gamomat
Ultimate Super Reels,24,19,iSoftBet,PE,2021-02-25,ultimatesuperreels,isoftbet
Jewel Scarabs,25,26,Red Tiger,PE,2021-02-25,jewelscarabs,redtiger
Take 5,26,13,Gamomat,PE,2021-02-25,take5,gamomat
Books And Pearls,27,14,Gamomat,PE,2021-02-25,booksandpearls,gamomat
Orango Tango,28,11,Lady Luck Games,PE,2021-02-25,orangotango,ladyluckgames
Gold Vein,29,15,Booming Games,PE,2021-02-25,goldvein,boominggames
John Hunter And The Book Of Tut,30,21,Pragmatic Play,PE,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Rock Paper Scissors,31,11,Playtech,PE,2021-02-25,rockpaperscissors,playtech
Book Of Demi Gods 2,32,10,Spinomenal,PE,2021-02-25,bookofdemigods2,spinomenal
Monopoly Live,33,15,Evolution Gaming,PE,2021-02-25,monopolylive,evolutiongaming
Speed Baccarat B,34,19,Evolution Gaming,PE,2021-02-25,speedbaccaratb,evolutiongaming
Book Of Rebirth Reloaded,35,8,Spinomenal,PE,2021-02-25,bookofrebirthreloaded,spinomenal
Thunder Of Olympus,36,7,Booongo,PE,2021-02-25,thunderofolympus,booongo
Cops and Robbers (Pariplay),37,9,Pariplay,PE,2021-02-25,copsandrobbers,pariplay
Gonzo's Quest,38,28,NetEnt,PE,2021-02-25,gonzosquest,netent
Book Of Tribes,39,9,Spinomenal,PE,2021-02-25,bookoftribes,spinomenal
Hot to Burn,40,21,Reel Kingdom,PE,2021-02-25,hottoburn,reelkingdom
Fire Joker,41,16,Play'n Go,PE,2021-02-25,firejoker,playngo
Rise Of Olympus,42,16,Play'n Go,PE,2021-02-25,riseofolympus,playngo
Book Of Xmas,43,10,Spinomenal,PE,2021-02-25,bookofxmas,spinomenal
Super Marble,44,9,Booongo,PE,2021-02-25,supermarble,booongo
Reactoonz,45,17,Play'n Go,PE,2021-02-25,reactoonz,playngo
Aloha! Cluster Pays,46,29,NetEnt,PE,2021-02-25,alohaclusterpays,netent
Adventures Of Doubloon Island,47,6,Triple Edge Studios,PE,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Books and Bulls,48,13,Gamomat,PE,2021-02-25,booksandbulls,gamomat
Mega Moolah,49,16,Microgaming,PE,2021-02-25,megamoolah,microgaming
Jack and the Beanstalk,50,30,NetEnt,PE,2021-02-25,jackandthebeanstalk,netent
Joker Pro,51,29,NetEnt,PE,2021-02-25,jokerpro,netent
Fruits and Jokers: 40 lines,52,18,Playson,PE,2021-02-25,fruitsandjokers40lines,playson
Big Apple Wins,53,14,Booming Games,PE,2021-02-25,bigapplewins,boominggames
Great Rhino,54,22,Pragmatic Play,PE,2021-02-25,greatrhino,pragmaticplay
Master Joker,55,21,Pragmatic Play,PE,2021-02-25,masterjoker,pragmaticplay
The Dog House Megaways,56,22,Pragmatic Play,PE,2021-02-25,thedoghousemegaways,pragmaticplay
Twin Spin,57,30,NetEnt,PE,2021-02-25,twinspin,netent
Legacy of Dead,58,16,Play'n Go,PE,2021-02-25,legacyofdead,playngo
3 Devils Pinball,59,9,Crazy Tooth Studio,PE,2021-02-25,3devilspinball,crazytoothstudio
Deadwood,60,14,Nolimit City,PE,2021-02-25,deadwood,nolimitcity
The Paying Piano Club,61,15,Play'n Go,PE,2021-02-25,thepayingpianoclub,playngo
East Coast vs West Coast,62,15,Nolimit City,PE,2021-02-25,eastcoastvswestcoast,nolimitcity
Explodiac RHFP,63,12,Gamomat,PE,2021-02-25,explodiacrhfp,gamomat
