Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Gonzo's Quest Megaways,1,40,Red Tiger,PL,2021-02-25,gonzosquestmegaways,redtiger
Ramses Book,2,20,Gamomat,PL,2021-02-25,ramsesbook,gamomat
Dragon Tiger First Person,3,24,Evolution Gaming,PL,2021-02-25,dragontigerfirstperson,evolutiongaming
Football Studio First Person,4,21,Evolution Gaming,PL,2021-02-25,footballstudiofirstperson,evolutiongaming
Baccarat First Person,5,22,Evolution Gaming,PL,2021-02-25,baccaratfirstperson,evolutiongaming
Book of Dead,6,37,Play'n Go,PL,2021-02-25,bookofdead,playngo
John Hunter And The Book Of Tut,7,43,Pragmatic Play,PL,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Adventures Of Doubloon Island,8,14,Triple Edge Studios,PL,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Pirates Plenty The Sunken Treasure,9,40,Red Tiger,PL,2021-02-25,piratesplentythesunkentreasure,redtiger
Crazy Time,10,25,Evolution Gaming,PL,2021-02-25,crazytime,evolutiongaming
3 Devils Pinball,11,18,Crazy Tooth Studio,PL,2021-02-25,3devilspinball,crazytoothstudio
Piggy Riches Megaways,12,38,Red Tiger,PL,2021-02-25,piggyrichesmegaways,redtiger
The Paying Piano Club,13,22,Play'n Go,PL,2021-02-25,thepayingpianoclub,playngo
Crystal Ball,14,19,Gamomat,PL,2021-02-25,crystalball,gamomat
Ruler of Egypt,15,13,Lady Luck Games,PL,2021-02-25,rulerofegypt,ladyluckgames
Fancy Fruits,16,19,Gamomat,PL,2021-02-25,fancyfruits,gamomat
Lightning Roulette,17,26,Evolution Gaming,PL,2021-02-25,lightningroulette,evolutiongaming
Weight of the Gun,18,13,Lady Luck Games,PL,2021-02-25,weightofthegun,ladyluckgames
Dynamite Riches,19,39,Red Tiger,PL,2021-02-25,dynamiteriches,redtiger
Diamond Blast Zone,20,7,Leander Games,PL,2021-02-25,diamondblastzone,leandergames
Mystery Reels,21,41,Red Tiger,PL,2021-02-25,mysteryreels,redtiger
Gold Vein,22,38,Booming Games,PL,2021-02-25,goldvein,boominggames
East Coast vs West Coast,23,19,Nolimit City,PL,2021-02-25,eastcoastvswestcoast,nolimitcity
Katmandu Gold,24,18,ELK Studios,PL,2021-02-25,katmandugold,elkstudios
Augustus,25,22,Neon Valley Studios,PL,2021-02-25,augustus,neonvalleystudios
Neptunes Fortune Megaways,26,31,iSoftBet,PL,2021-02-25,neptunesfortunemegaways,isoftbet
Big Money Frenzy,27,5,Blueprint,PL,2021-02-25,bigmoneyfrenzy,blueprint
Royal Seven XXL,28,19,Gamomat,PL,2021-02-25,royalsevenxxl,gamomat
Wild Diamond 7x,29,38,Booming Games,PL,2021-02-25,wilddiamond7x,boominggames
Wolf Gold,30,46,Pragmatic Play,PL,2021-02-25,wolfgold,pragmaticplay
Crystal Sun,31,32,Play'n Go,PL,2021-02-25,crystalsun,playngo
Fancy Fruits Respins Of Amun-Re,32,18,Gamomat,PL,2021-02-25,fancyfruitsrespinsofamunre,gamomat
Sticky Diamonds,33,19,Gamomat,PL,2021-02-25,stickydiamonds,gamomat
Books And Pearls,34,16,Gamomat,PL,2021-02-25,booksandpearls,gamomat
Legacy of Dead,35,33,Play'n Go,PL,2021-02-25,legacyofdead,playngo
Jewel Scarabs,36,39,Red Tiger,PL,2021-02-25,jewelscarabs,redtiger
Take 5,37,21,Gamomat,PL,2021-02-25,take5,gamomat
Starburst,38,48,NetEnt,PL,2021-02-25,starburst,netent
Power Blackjack,39,20,Evolution Gaming,PL,2021-02-25,powerblackjack,evolutiongaming
Orango Tango,40,13,Lady Luck Games,PL,2021-02-25,orangotango,ladyluckgames
Dragon's Luck,41,41,Red Tiger,PL,2021-02-25,dragonsluck,redtiger
Sophie,42,41,Games Inc,PL,2021-02-25,sophie,gamesinc
Old Crown,43,41,Games Inc,PL,2021-02-25,oldcrown,gamesinc
Reactoonz 2,44,35,Play'n Go,PL,2021-02-25,reactoonz2,playngo
ted,45,4,Blueprint,PL,2021-02-25,ted,blueprint
The Dog House Megaways,46,39,Pragmatic Play,PL,2021-02-25,thedoghousemegaways,pragmaticplay
Speed Baccarat B,47,24,Evolution Gaming,PL,2021-02-25,speedbaccaratb,evolutiongaming
Fishin' Frenzy,48,17,Reel Time Gaming,PL,2021-02-25,fishinfrenzy,reeltimegaming
243 Mexicana,49,4,SYNOT,PL,2021-02-25,243mexicana,synot
Sylvan Spirits,50,21,Red Tiger,PL,2021-02-25,sylvanspirits,redtiger
Monopoly Live,51,17,Evolution Gaming,PL,2021-02-25,monopolylive,evolutiongaming
Wild O Clock,52,36,Red Tiger,PL,2021-02-25,wildoclock,redtiger
Golden Osiris,53,24,Play'n Go,PL,2021-02-25,goldenosiris,playngo
Cash Volt,54,39,Red Tiger,PL,2021-02-25,cashvolt,redtiger
Yucatans Mystery,55,37,Red Tiger,PL,2021-02-25,yucatansmystery,redtiger
Book Of Rebirth Reloaded,56,17,Spinomenal,PL,2021-02-25,bookofrebirthreloaded,spinomenal
Eye of Horus (Reel Time Gaming),57,6,Reel Time Gaming,PL,2021-02-25,eyeofhorus,reeltimegaming
Mega Burning Wins 27 ways,58,32,Playson,PL,2021-02-25,megaburningwins27ways,playson
Frequent Flyer,59,12,Relax Gaming,PL,2021-02-25,frequentflyer,relaxgaming
Happy Holidays Scratch,60,26,Microgaming,PL,2021-02-25,happyholidaysscratch,microgaming
Candy Prize BIG,61,26,Green Jade Games,PL,2021-02-25,candyprizebig,greenjadegames
100 Bit Dice,62,4,4ThePlayer,PL,2021-02-25,100bitdice,4theplayer
Out Of This World Scratchcard,63,4,Leander Games,PL,2021-02-25,outofthisworldscratchcard,leandergames
Magic Mystery Money,64,5,Live 5,PL,2021-02-25,magicmysterymoney,live5
Goddess Of Lotus,65,15,Spinomenal,PL,2021-02-25,goddessoflotus,spinomenal
Reactoonz,66,34,Play'n Go,PL,2021-02-25,reactoonz,playngo
Madame Destiny Megaways,67,38,Pragmatic Play,PL,2021-02-25,madamedestinymegaways,pragmaticplay
Book Of The West,68,38,Swintt,PL,2021-02-25,bookofthewest,swintt
Buffalo Power Hold and Win,69,33,Playson,PL,2021-02-25,buffalopowerholdandwin,playson
Aztec Gold Extra Gold Megaways,70,33,iSoftBet,PL,2021-02-25,aztecgoldextragoldmegaways,isoftbet
Sure Win Scratch,71,14,Microgaming,PL,2021-02-25,surewinscratch,microgaming
Wonders of Egypt,72,14,Xplosive Slots Group,PL,2021-02-25,wondersofegypt,xplosiveslotsgroup
Wheel Of Wishes,73,14,Alchemy Gaming,PL,2021-02-25,wheelofwishes,alchemygaming
Candyways Bonanza Megaways,74,14,Hurricane Games,PL,2021-02-25,candywaysbonanzamegaways,hurricanegames
Fire Joker,75,34,Play'n Go,PL,2021-02-25,firejoker,playngo
Big Bass Bonanza,76,38,Reel Kingdom,PL,2021-02-25,bigbassbonanza,reelkingdom
Mega Moolah,77,13,Microgaming,PL,2021-02-25,megamoolah,microgaming
Aurum Codex,78,38,Red Tiger,PL,2021-02-25,aurumcodex,redtiger
Real Roulette with Caroline,79,38,Real Dealer Studios,PL,2021-02-25,realroulettewithcaroline,realdealerstudios
Lucky Leprechaun Scratch,80,28,Microgaming,PL,2021-02-25,luckyleprechaunscratch,microgaming
Extra Chilli,81,40,Big Time Gaming,PL,2021-02-25,extrachilli,bigtimegaming
Real Roulette with Holly,82,40,Real Dealer Studios,PL,2021-02-25,realroulettewithholly,realdealerstudios
Hall of Gods,83,18,NetEnt,PL,2021-02-25,hallofgods,netent
Shooot! (Games Inc),84,18,Games Inc,PL,2021-02-25,shooot,gamesinc
POP! (Games Inc),85,0,Games Inc,PL,2021-02-25,pop,gamesinc
Chicago Gold,86,25,PearFiction,PL,2021-02-25,chicagogold,pearfiction
Immortal Romance,87,30,Microgaming,PL,2021-02-25,immortalromance,microgaming
Cowboys Gold,88,39,Pragmatic Play,PL,2021-02-25,cowboysgold,pragmaticplay
Golden Tsar,89,38,Red Tiger,PL,2021-02-25,goldentsar,redtiger
Street Fighter 2: The World Warrior,90,37,NetEnt,PL,2021-02-25,streetfighter2theworldwarrior,netent
Gems Bonanza,91,40,Pragmatic Play,PL,2021-02-25,gemsbonanza,pragmaticplay
Sweet Bonanza,92,44,Pragmatic Play,PL,2021-02-25,sweetbonanza,pragmaticplay
Dead or Alive 2,93,50,NetEnt,PL,2021-02-25,deadoralive2,netent
Twin Spin Megaways,94,36,NetEnt,PL,2021-02-25,twinspinmegaways,netent
Spartan King,95,35,Pragmatic Play,PL,2021-02-25,spartanking,pragmaticplay
John Hunter and the Mayan Gods,96,38,Pragmatic Play,PL,2021-02-25,johnhunterandthemayangods,pragmaticplay
Gonzo's Quest,97,47,NetEnt,PL,2021-02-25,gonzosquest,netent
Curse of the Werewolf Megaways,98,42,Pragmatic Play,PL,2021-02-25,curseofthewerewolfmegaways,pragmaticplay
Booming Seven Deluxe,99,39,Booming Games,PL,2021-02-25,boomingsevendeluxe,boominggames
Mystery Jackpot Spinner,100,39,Games Inc,PL,2021-02-25,mysteryjackpotspinner,gamesinc
