Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Gonzo's Quest,1,8,NetEnt,PT,2021-02-25,gonzosquest,netent
Twin Spin Megaways,2,8,NetEnt,PT,2021-02-25,twinspinmegaways,netent
Fruit Shop Megaways,3,7,NetEnt,PT,2021-02-25,fruitshopmegaways,netent
Starburst,4,7,NetEnt,PT,2021-02-25,starburst,netent
Bounty Belles,5,5,iSoftBet,PT,2021-02-25,bountybelles,isoftbet
Million 777,6,5,Red Rake,PT,2021-02-25,million777,redrake
Rome The Golden Age,7,6,NetEnt,PT,2021-02-25,romethegoldenage,netent
Peaky Blinders,8,5,Pragmatic Play,PT,2021-02-25,peakyblinders,pragmaticplay
Joker King,9,5,Pragmatic Play,PT,2021-02-25,jokerking,pragmaticplay
Fakir Slot,10,5,GAMING1,PT,2021-02-25,fakirslot,gaming1
Feng Li Dragon,11,5,GAMING1,PT,2021-02-25,fenglidragon,gaming1
Neptunes Fortune Megaways,12,5,iSoftBet,PT,2021-02-25,neptunesfortunemegaways,isoftbet
Blackjack Multihand 7 Seats,13,5,GAMING1,PT,2021-02-25,blackjackmultihand7seats,gaming1
Burning Hot,14,6,EGT,PT,2021-02-25,burninghot,egt
Eye of the Storm,15,6,Reel Kingdom,PT,2021-02-25,eyeofthestorm,reelkingdom
John Hunter and the Mayan Gods,16,4,Pragmatic Play,PT,2021-02-25,johnhunterandthemayangods,pragmaticplay
Vertical Roulette,17,4,GAMING1,PT,2021-02-25,verticalroulette,gaming1
Astro The Great Race,18,4,GAMING1,PT,2021-02-25,astrothegreatrace,gaming1
Madame Destiny Megaways,19,4,Pragmatic Play,PT,2021-02-25,madamedestinymegaways,pragmaticplay
Dragon Fury,20,4,GAMING1,PT,2021-02-25,dragonfury,gaming1
Parrot Bay,21,4,Red Rake,PT,2021-02-25,parrotbay,redrake
Book of Dead,22,5,Play'n Go,PT,2021-02-25,bookofdead,playngo
Western Gold Megaways,23,4,iSoftBet,PT,2021-02-25,westerngoldmegaways,isoftbet
The Dog House Megaways,24,5,Pragmatic Play,PT,2021-02-25,thedoghousemegaways,pragmaticplay
Gold Digger,25,5,iSoftBet,PT,2021-02-25,golddigger,isoftbet
Diamond Wild,26,5,iSoftBet,PT,2021-02-25,diamondwild,isoftbet
Joker's Jewels,27,5,Pragmatic Play,PT,2021-02-25,jokersjewels,pragmaticplay
John Hunter Tomb of the Scarab Queen,28,5,Pragmatic Play,PT,2021-02-25,johnhuntertombofthescarabqueen,pragmaticplay
Chilli Heat,29,5,Pragmatic Play,PT,2021-02-25,chilliheat,pragmaticplay
Ultra Burn,30,4,Reel Kingdom,PT,2021-02-25,ultraburn,reelkingdom
Hotline 2,31,6,NetEnt,PT,2021-02-25,hotline2,netent
Wild Walker,32,4,Pragmatic Play,PT,2021-02-25,wildwalker,pragmaticplay
Drago - Jewels of Fortune,33,4,Pragmatic Play,PT,2021-02-25,dragojewelsoffortune,pragmaticplay
Bonanza,34,4,Big Time Gaming,PT,2021-02-25,bonanza,bigtimegaming
Long Pao,35,4,NetEnt,PT,2021-02-25,longpao,netent
Wild Wild West,36,5,NetEnt,PT,2021-02-25,wildwildwest,netent
Cash Noire,37,5,NetEnt,PT,2021-02-25,cashnoire,netent
Caramel Hot,38,4,EGT,PT,2021-02-25,caramelhot,egt
40 Almighty Ramses II,39,4,EGT,PT,2021-02-25,40almightyramsesii,egt
Reactoonz 2,40,4,Play'n Go,PT,2021-02-25,reactoonz2,playngo
Golden Ticket 2,41,4,Play'n Go,PT,2021-02-25,goldenticket2,playngo
Book of Sheba (iSoftBet),42,4,iSoftBet,PT,2021-02-25,bookofsheba,isoftbet
