Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,7,Play'n Go,RO,2021-02-25,bookofdead,playngo
Sweet Bonanza,2,7,Pragmatic Play,RO,2021-02-25,sweetbonanza,pragmaticplay
Book of Ra deluxe,3,8,Greentube,RO,2021-02-25,bookofradeluxe,greentube
Burning Hot,4,8,EGT,RO,2021-02-25,burninghot,egt
Sizzling Hot deluxe,5,9,Greentube,RO,2021-02-25,sizzlinghotdeluxe,greentube
20 Super Hot,6,8,EGT,RO,2021-02-25,20superhot,egt
Lucky Lady's Charm deluxe,7,7,Greentube,RO,2021-02-25,luckyladyscharmdeluxe,greentube
The Dog House Megaways,8,8,Pragmatic Play,RO,2021-02-25,thedoghousemegaways,pragmaticplay
10 Burning Heart,9,7,EGT,RO,2021-02-25,10burningheart,egt
John Hunter And The Book Of Tut,10,5,Pragmatic Play,RO,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Extra Chilli,11,5,Big Time Gaming,RO,2021-02-25,extrachilli,bigtimegaming
Reactoonz,12,5,Play'n Go,RO,2021-02-25,reactoonz,playngo
5 Burning Heart,13,6,EGT,RO,2021-02-25,5burningheart,egt
Chilli Festival,14,6,Skywind Group,RO,2021-02-25,chillifestival,skywindgroup
9 Pots of Gold,15,6,Gameburger Studios,RO,2021-02-25,9potsofgold,gameburgerstudios
Rooks Revenge,16,6,Betsoft,RO,2021-02-25,rooksrevenge,betsoft
Horus Temple,17,6,GAMING1,RO,2021-02-25,horustemple,gaming1
Jokers Luck,18,6,Skywind Group,RO,2021-02-25,jokersluck,skywindgroup
Tome of Madness,19,5,Play'n Go,RO,2021-02-25,tomeofmadness,playngo
Deco Diamonds,20,5,JustForTheWin,RO,2021-02-25,decodiamonds,justforthewin
Blazing Sevens,21,5,1X2gaming,RO,2021-02-25,blazingsevens,1x2gaming
Shining Crown,22,8,EGT,RO,2021-02-25,shiningcrown,egt
5 Dazzling Hot,23,8,EGT,RO,2021-02-25,5dazzlinghot,egt
20 Burning Hot,24,7,EGT,RO,2021-02-25,20burninghot,egt
Legacy of Dead,25,6,Play'n Go,RO,2021-02-25,legacyofdead,playngo
40 Super Hot,26,8,EGT,RO,2021-02-25,40superhot,egt
40 Burning Hot,27,8,EGT,RO,2021-02-25,40burninghot,egt
Curse of the Werewolf Megaways,28,7,Pragmatic Play,RO,2021-02-25,curseofthewerewolfmegaways,pragmaticplay
Money Train 2,29,0,Relax Gaming,RO,2021-02-25,moneytrain2,relaxgaming
Buffalo Blitz,30,5,Playtech,RO,2021-02-25,buffaloblitz,playtech
Dragon Champions,31,5,Playtech,RO,2021-02-25,dragonchampions,playtech
Roulette Lobby (Evolution Gaming),32,5,Evolution Gaming,RO,2021-02-25,roulettelobby,evolutiongaming
Golden Ticket 2,33,5,Play'n Go,RO,2021-02-25,goldenticket2,playngo
Rich Wilde and the Shield of Athena,34,5,Play'n Go,RO,2021-02-25,richwildeandtheshieldofathena,playngo
100 Super Hot,35,8,EGT,RO,2021-02-25,100superhot,egt
Cat Wilde and the Doom of Dead,36,5,Play'n Go,RO,2021-02-25,catwildeandthedoomofdead,playngo
Respin Joker,37,4,SYNOT,RO,2021-02-25,respinjoker,synot
Ultra Hold and Spin,38,5,Reel Kingdom,RO,2021-02-25,ultraholdandspin,reelkingdom
Ultra Burn,39,5,Reel Kingdom,RO,2021-02-25,ultraburn,reelkingdom
Blackjack (Relax),40,5,Relax Gaming,RO,2021-02-25,blackjack,relaxgaming
Solar Queen,41,5,Playson,RO,2021-02-25,solarqueen,playson
European Blackjack MH (Play'n Go),42,5,Play'n Go,RO,2021-02-25,europeanblackjackmh,playngo
Book of Gold: Double Chance,43,5,Playson,RO,2021-02-25,bookofgolddoublechance,playson
Fruit Awards,44,4,SYNOT,RO,2021-02-25,fruitawards,synot
Age of the Gods God of Storms,45,6,Playtech Vikings,RO,2021-02-25,ageofthegodsgodofstorms,playtechvikings
Flaming Hot,46,8,EGT,RO,2021-02-25,flaminghot,egt
Jackpot Bells,47,5,Playtech,RO,2021-02-25,jackpotbells,playtech
Age of the Gods: Ruler of the Sky,48,5,Playtech Origins,RO,2021-02-25,ageofthegodsrulerofthesky,playtechorigins
Joker 40,49,4,SYNOT,RO,2021-02-25,joker40,synot
Blackjack Lobby Live Casino (Evolution Gaming),50,4,Evolution Gaming,RO,2021-02-25,blackjacklobbylivecasino,evolutiongaming
Rise of Ra,51,8,EGT,RO,2021-02-25,riseofra,egt
Age of the Gods Medusa & Monsters,52,5,Playtech Origins,RO,2021-02-25,ageofthegodsmedusamonsters,playtechorigins
Wild Five,53,5,Skywind Group,RO,2021-02-25,wildfive,skywindgroup
Roulette (NetEnt),54,5,NetEnt,RO,2021-02-25,roulette,netent
Single Deck Blackjack MH,55,4,Play'n Go,RO,2021-02-25,singledeckblackjackmh,playngo
Roulette (Relax Gaming),56,4,Relax Gaming,RO,2021-02-25,roulette,relaxgaming
Royal Rings,57,0,Skywind Group,RO,2021-02-25,royalrings,skywindgroup
Dice & Roll,58,8,EGT,RO,2021-02-25,diceroll,egt
Twin Spin,59,4,NetEnt,RO,2021-02-25,twinspin,netent
Guns N' Roses,60,5,NetEnt,RO,2021-02-25,gunsnroses,netent
Fruit Shop (NetEnt),61,5,NetEnt,RO,2021-02-25,fruitshop,netent
Inca Jackpot,62,5,Skywind Group,RO,2021-02-25,incajackpot,skywindgroup
Butterfly Staxx,63,5,NetEnt,RO,2021-02-25,butterflystaxx,netent
Justice League (Playtech),64,5,Playtech Vikings,RO,2021-02-25,justiceleague,playtechvikings
Reel Rush,65,4,NetEnt,RO,2021-02-25,reelrush,netent
Great Blue,66,4,Playtech,RO,2021-02-25,greatblue,playtech
Epic Ape,67,5,Playtech,RO,2021-02-25,epicape,playtech
Age of the Gods,68,5,Playtech,RO,2021-02-25,ageofthegods,playtech
Extra Stars,69,7,EGT,RO,2021-02-25,extrastars,egt
Kingdoms Rise: Sands of Fury,70,7,Playtech Origins,RO,2021-02-25,kingdomsrisesandsoffury,playtechorigins
