Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,99,Play'n Go,RU,2021-02-25,bookofdead,playngo
Wolf Gold,2,105,Pragmatic Play,RU,2021-02-25,wolfgold,pragmaticplay
The Paying Piano Club,3,68,Play'n Go,RU,2021-02-25,thepayingpianoclub,playngo
Starburst,4,103,NetEnt,RU,2021-02-25,starburst,netent
Legacy of Dead,5,97,Play'n Go,RU,2021-02-25,legacyofdead,playngo
Joker King,6,76,Pragmatic Play,RU,2021-02-25,jokerking,pragmaticplay
Gonzo's Quest,7,103,NetEnt,RU,2021-02-25,gonzosquest,netent
Skulls Heap,8,52,GONG Gaming Technologies,RU,2021-02-25,skullsheap,gonggamingtechnologies
Gonzo's Quest Megaways,9,77,Red Tiger,RU,2021-02-25,gonzosquestmegaways,redtiger
Dead or Alive 2,10,107,NetEnt,RU,2021-02-25,deadoralive2,netent
TikiPop,11,35,AvatarUX Studios,RU,2021-02-25,tikipop,avataruxstudios
Extra Chilli,12,94,Big Time Gaming,RU,2021-02-25,extrachilli,bigtimegaming
Adventures Of Doubloon Island,13,46,Triple Edge Studios,RU,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Lovely Lady Deluxe,14,62,Amatic Industries,RU,2021-02-25,lovelyladydeluxe,amaticindustries
Money Train 2,15,58,Relax Gaming,RU,2021-02-25,moneytrain2,relaxgaming
Sweet Bonanza,16,102,Pragmatic Play,RU,2021-02-25,sweetbonanza,pragmaticplay
Razor Shark,17,65,Push Gaming,RU,2021-02-25,razorshark,pushgaming
Fruit Million,18,50,BGAMING,RU,2021-02-25,fruitmillion,bgaming
Reactoonz,19,92,Play'n Go,RU,2021-02-25,reactoonz,playngo
Elvis Frog in Vegas,20,64,BGAMING,RU,2021-02-25,elvisfroginvegas,bgaming
Eye of Gold,21,62,Booongo,RU,2021-02-25,eyeofgold,booongo
Take The Bank,22,92,Betsoft,RU,2021-02-25,takethebank,betsoft
Immortal Romance,23,96,Microgaming,RU,2021-02-25,immortalromance,microgaming
Take Olympus,24,58,Betsoft,RU,2021-02-25,takeolympus,betsoft
The Dog House Megaways,25,90,Pragmatic Play,RU,2021-02-25,thedoghousemegaways,pragmaticplay
Sphinx Fortune,26,52,Booming Games,RU,2021-02-25,sphinxfortune,boominggames
3 Devils Pinball,27,51,Crazy Tooth Studio,RU,2021-02-25,3devilspinball,crazytoothstudio
John Hunter And The Book Of Tut,28,99,Pragmatic Play,RU,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Sakura Fortune,29,78,Quickspin,RU,2021-02-25,sakurafortune,quickspin
Reactoonz 2,30,78,Play'n Go,RU,2021-02-25,reactoonz2,playngo
Golden Horns,31,83,Betsoft,RU,2021-02-25,goldenhorns,betsoft
Buddha Fortune Hold and Win,32,62,Booongo,RU,2021-02-25,buddhafortuneholdandwin,booongo
Space Wars,33,80,NetEnt,RU,2021-02-25,spacewars,netent
Cosmic Gems,34,50,2by2 Gaming,RU,2021-02-25,cosmicgems,2by2gaming
Trillionaire,35,33,Red Tiger,RU,2021-02-25,trillionaire,redtiger
Bonanza,36,98,Big Time Gaming,RU,2021-02-25,bonanza,bigtimegaming
Valley Of The Gods 2,37,61,Yggdrasil,RU,2021-02-25,valleyofthegods2,yggdrasil
Book Of Demi Gods 2,38,74,Spinomenal,RU,2021-02-25,bookofdemigods2,spinomenal
Book of Cai Shen,39,63,iSoftBet,RU,2021-02-25,bookofcaishen,isoftbet
Book Of Aztec,40,77,Amatic Industries,RU,2021-02-25,bookofaztec,amaticindustries
Fruit Cocktail,41,43,Others,RU,2021-02-25,fruitcocktail,others
Assassin Moon,42,74,Triple Edge Studios,RU,2021-02-25,assassinmoon,tripleedgestudios
The Dog House,43,95,Pragmatic Play,RU,2021-02-25,thedoghouse,pragmaticplay
John Hunter Tomb of the Scarab Queen,44,90,Pragmatic Play,RU,2021-02-25,johnhuntertombofthescarabqueen,pragmaticplay
Rise of Merlin,45,84,Play'n Go,RU,2021-02-25,riseofmerlin,playngo
Bounty Belles,46,67,iSoftBet,RU,2021-02-25,bountybelles,isoftbet
Treasure Mania,47,48,Evoplay Entertainment,RU,2021-02-25,treasuremania,evoplayentertainment
Queen of gold,48,100,Pragmatic Play,RU,2021-02-25,queenofgold,pragmaticplay
Rise Of Olympus,49,90,Play'n Go,RU,2021-02-25,riseofolympus,playngo
The Hand of Midas,50,75,Pragmatic Play,RU,2021-02-25,thehandofmidas,pragmaticplay
Mustang Gold,51,103,Pragmatic Play,RU,2021-02-25,mustanggold,pragmaticplay
Primal Hunt,52,95,Betsoft,RU,2021-02-25,primalhunt,betsoft
Divine Fortune Megaways,53,80,NetEnt,RU,2021-02-25,divinefortunemegaways,netent
Thunder Of Olympus,54,59,Booongo,RU,2021-02-25,thunderofolympus,booongo
Book of Oz,55,89,Triple Edge Studios,RU,2021-02-25,bookofoz,tripleedgestudios
Big Bad Wolf,56,79,Quickspin,RU,2021-02-25,bigbadwolf,quickspin
Lucky Lady Moon,57,48,BGAMING,RU,2021-02-25,luckyladymoon,bgaming
Wild West Gold,58,84,Pragmatic Play,RU,2021-02-25,wildwestgold,pragmaticplay
Cupids Strike 2,59,65,Spinomenal,RU,2021-02-25,cupidsstrike2,spinomenal
Cygnus,60,80,ELK Studios,RU,2021-02-25,cygnus,elkstudios
Crazy Time,61,40,Evolution Gaming,RU,2021-02-25,crazytime,evolutiongaming
Street Fighter 2: The World Warrior,62,66,NetEnt,RU,2021-02-25,streetfighter2theworldwarrior,netent
Book of Fortune,63,82,Amatic Industries,RU,2021-02-25,bookoffortune,amaticindustries
Lightning Roulette,64,46,Evolution Gaming,RU,2021-02-25,lightningroulette,evolutiongaming
Book of Darkness,65,86,Betsoft,RU,2021-02-25,bookofdarkness,betsoft
Midas Golden Touch,66,75,Thunderkick,RU,2021-02-25,midasgoldentouch,thunderkick
Tome of Madness,67,82,Play'n Go,RU,2021-02-25,tomeofmadness,playngo
Rome The Golden Age,68,46,NetEnt,RU,2021-02-25,romethegoldenage,netent
Jolly Treasures,69,51,Evoplay Entertainment,RU,2021-02-25,jollytreasures,evoplayentertainment
Great Rhino Megaways,70,102,Pragmatic Play,RU,2021-02-25,greatrhinomegaways,pragmaticplay
San Quentin,71,61,Nolimit City,RU,2021-02-25,sanquentin,nolimitcity
Agent 51,72,33,Kalamba Games,RU,2021-02-25,agent51,kalambagames
East Coast vs West Coast,73,53,Nolimit City,RU,2021-02-25,eastcoastvswestcoast,nolimitcity
Fruit Zen,74,92,Betsoft,RU,2021-02-25,fruitzen,betsoft
Madame Destiny Megaways,75,80,Pragmatic Play,RU,2021-02-25,madamedestinymegaways,pragmaticplay
Thunder Screech,76,60,Play'n Go,RU,2021-02-25,thunderscreech,playngo
Ice Joker,77,77,Play'n Go,RU,2021-02-25,icejoker,playngo
Cowboys Gold,78,90,Pragmatic Play,RU,2021-02-25,cowboysgold,pragmaticplay
Zeus Rush Fever,79,27,Ruby Play,RU,2021-02-25,zeusrushfever,rubyplay
Dim Sum Prize,80,94,Betsoft,RU,2021-02-25,dimsumprize,betsoft
Mysterious,81,88,Pragmatic Play,RU,2021-02-25,mysterious,pragmaticplay
Sherlock Bones,82,39,Electric Elephant,RU,2021-02-25,sherlockbones,electricelephant
Maui Millions,83,45,Kalamba Games,RU,2021-02-25,mauimillions,kalambagames
Jammin' Jars,84,59,Push Gaming,RU,2021-02-25,jamminjars,pushgaming
Choco Reels,85,67,Wazdan,RU,2021-02-25,chocoreels,wazdan
Bamboo Fortune,86,28,Ruby Play,RU,2021-02-25,bamboofortune,rubyplay
Deadwood,87,64,Nolimit City,RU,2021-02-25,deadwood,nolimitcity
6 Tokens of Gold,88,63,All41 Studios,RU,2021-02-25,6tokensofgold,all41studios
Lucky Scarabs,89,69,Booming Games,RU,2021-02-25,luckyscarabs,boominggames
Dynamite Riches,90,69,Red Tiger,RU,2021-02-25,dynamiteriches,redtiger
Eye of the Storm,91,79,Reel Kingdom,RU,2021-02-25,eyeofthestorm,reelkingdom
Gold Bonanza,92,28,Leap Gaming,RU,2021-02-25,goldbonanza,leapgaming
Lord Fortune,93,17,Booongo,RU,2021-02-25,lordfortune,booongo
Dinosaur Rage,94,68,Quickspin,RU,2021-02-25,dinosaurrage,quickspin
Book Of Rebirth,95,78,Spinomenal,RU,2021-02-25,bookofrebirth,spinomenal
Treasure Room,96,70,Betsoft,RU,2021-02-25,treasureroom,betsoft
Labyrinth Of Knossos,97,46,Dream Tech,RU,2021-02-25,labyrinthofknossos,dreamtech
Hit The Route,98,50,BGAMING,RU,2021-02-25,hittheroute,bgaming
Madame Fortune,99,43,High 5 Games,RU,2021-02-25,madamefortune,high5games
Diamond Heaven,100,32,Leap Gaming,RU,2021-02-25,diamondheaven,leapgaming
