Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,115,NetEnt,SE,2021-02-25,starburst,netent
Book of Dead,2,110,Play'n Go,SE,2021-02-25,bookofdead,playngo
Bonanza,3,97,Big Time Gaming,SE,2021-02-25,bonanza,bigtimegaming
The Paying Piano Club,4,75,Play'n Go,SE,2021-02-25,thepayingpianoclub,playngo
Lightning Roulette,5,64,Evolution Gaming,SE,2021-02-25,lightningroulette,evolutiongaming
Gonzo's Quest Megaways,6,76,Red Tiger,SE,2021-02-25,gonzosquestmegaways,redtiger
Fire Joker,7,100,Play'n Go,SE,2021-02-25,firejoker,playngo
Gonzo's Quest,8,110,NetEnt,SE,2021-02-25,gonzosquest,netent
Reactoonz,9,84,Play'n Go,SE,2021-02-25,reactoonz,playngo
Legacy of Dead,10,89,Play'n Go,SE,2021-02-25,legacyofdead,playngo
Joker King,11,55,Pragmatic Play,SE,2021-02-25,jokerking,pragmaticplay
Adventures Of Doubloon Island,12,46,Triple Edge Studios,SE,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Wolf Gold,13,72,Pragmatic Play,SE,2021-02-25,wolfgold,pragmaticplay
Big Money Frenzy,14,58,Blueprint,SE,2021-02-25,bigmoneyfrenzy,blueprint
Razor Shark,15,51,Push Gaming,SE,2021-02-25,razorshark,pushgaming
Mega Moolah,16,65,Microgaming,SE,2021-02-25,megamoolah,microgaming
Twin Spin,17,105,NetEnt,SE,2021-02-25,twinspin,netent
Divine Fortune Megaways,18,83,NetEnt,SE,2021-02-25,divinefortunemegaways,netent
3 Devils Pinball,19,52,Crazy Tooth Studio,SE,2021-02-25,3devilspinball,crazytoothstudio
Piggy Riches Megaways,20,56,Red Tiger,SE,2021-02-25,piggyrichesmegaways,redtiger
Money Train 2,21,49,Relax Gaming,SE,2021-02-25,moneytrain2,relaxgaming
Deadwood,22,57,Nolimit City,SE,2021-02-25,deadwood,nolimitcity
Immortal Romance,23,86,Microgaming,SE,2021-02-25,immortalromance,microgaming
