Name,Rank,Provider,Casinos,Market,Date,NameInternal,ProviderInternal
Five Star,1,Red Tiger,0,SK,2021-02-25,fivestar,redtiger
Jewel Scarabs,2,Red Tiger,0,SK,2021-02-25,jewelscarabs,redtiger
Dice Dice Dice,3,Red Tiger,0,SK,2021-02-25,dicedicedice,redtiger
Da Vinci's Mystery,4,Red Tiger,0,SK,2021-02-25,davincismystery,redtiger
Five Star Power Reels,5,Red Tiger,0,SK,2021-02-25,fivestarpowerreels,redtiger
Treasure Mine,6,Red Tiger,0,SK,2021-02-25,treasuremine,redtiger
Arcade Bomb,7,Red Tiger,0,SK,2021-02-25,arcadebomb,redtiger
RA's Legend,8,Red Tiger,0,SK,2021-02-25,raslegend,redtiger
Vicky Ventura,9,Red Tiger,0,SK,2021-02-25,vickyventura,redtiger
Grand Wheel,10,Red Tiger,0,SK,2021-02-25,grandwheel,redtiger
Gems Gone Wild,11,Red Tiger,0,SK,2021-02-25,gemsgonewild,redtiger
Red Diamond,12,Red Tiger,0,SK,2021-02-25,reddiamond,redtiger
Crazy Genie,13,Red Tiger,0,SK,2021-02-25,crazygenie,redtiger
Persian Fortune,14,Red Tiger,0,SK,2021-02-25,persianfortune,redtiger
Devil's Number,15,Red Tiger,0,SK,2021-02-25,devilsnumber,redtiger
Cinderella's Ball,16,Red Tiger,0,SK,2021-02-25,cinderellasball,redtiger
Mega Pyramid,17,Red Tiger,0,SK,2021-02-25,megapyramid,redtiger
Piggy Pirates,18,Red Tiger,0,SK,2021-02-25,piggypirates,redtiger
Tiki Fruits,19,Red Tiger,0,SK,2021-02-25,tikifruits,redtiger
Wild Wild Chest,20,Red Tiger,0,SK,2021-02-25,wildwildchest,redtiger
Dragon's Luck,21,Red Tiger,0,SK,2021-02-25,dragonsluck,redtiger
Dragon's Fire,22,Red Tiger,0,SK,2021-02-25,dragonsfire,redtiger
Totem Lightning,23,Red Tiger,0,SK,2021-02-25,totemlightning,redtiger
Jack in a Pot,24,Red Tiger,0,SK,2021-02-25,jackinapot,redtiger
Snow wild and the 7 features,25,Red Tiger,0,SK,2021-02-25,snowwildandthe7features,redtiger
Golden Temple,26,Red Tiger,0,SK,2021-02-25,goldentemple,redtiger
The Greatest Train Robbery,27,Red Tiger,0,SK,2021-02-25,thegreatesttrainrobbery,redtiger
Flaming Fox,28,Red Tiger,0,SK,2021-02-25,flamingfox,redtiger
Blue Diamond,29,Red Tiger,0,SK,2021-02-25,bluediamond,redtiger
Laser Fruit,30,Red Tiger,0,SK,2021-02-25,laserfruit,redtiger
Ninja Ways,31,Red Tiger,0,SK,2021-02-25,ninjaways,redtiger
Fruit Blox,32,Red Tiger,0,SK,2021-02-25,fruitblox,redtiger
Mayan Gods,33,Red Tiger,0,SK,2021-02-25,mayangods,redtiger
Reel Heist,34,Red Tiger,0,SK,2021-02-25,reelheist,redtiger
Lucky Wizard,35,Red Tiger,0,SK,2021-02-25,luckywizard,redtiger
Esqueleto Mariachi,36,Red Tiger,0,SK,2021-02-25,esqueletomariachi,redtiger
Spin Town,37,Red Tiger,0,SK,2021-02-25,spintown,redtiger
Respin Joker,38,SYNOT,4,SK,2021-02-25,respinjoker,synot
Fruit Awards,39,SYNOT,4,SK,2021-02-25,fruitawards,synot
Joker Boom,40,KAJOT,4,SK,2021-02-25,jokerboom,kajot
Fruits and Fire,41,SYNOT,4,SK,2021-02-25,fruitsandfire,synot
Joker 81,42,KAJOT,4,SK,2021-02-25,joker81,kajot
Firebird Double 27,43,SYNOT,4,SK,2021-02-25,firebirddouble27,synot
Buffalo Blitz,44,Playtech,4,SK,2021-02-25,buffaloblitz,playtech
Reel Hot Respin,45,SYNOT,4,SK,2021-02-25,reelhotrespin,synot
Berry Berry Bonanza,46,Playtech,4,SK,2021-02-25,berryberrybonanza,playtech
Anaconda Wild,47,Playtech,4,SK,2021-02-25,anacondawild,playtech
White King,48,Playtech,4,SK,2021-02-25,whiteking,playtech
Hell Fruits,49,SYNOT,4,SK,2021-02-25,hellfruits,synot
Neon Fever,50,SYNOT,4,SK,2021-02-25,neonfever,synot
Gaelic Luck,51,Playtech,4,SK,2021-02-25,gaelicluck,playtech
Halloween Fortune,52,Playtech,4,SK,2021-02-25,halloweenfortune,playtech
Epic Ape,53,Playtech,4,SK,2021-02-25,epicape,playtech
Fruity Gold,54,SYNOT,4,SK,2021-02-25,fruitygold,synot
Legacy of the Wild,55,Playtech Vikings,4,SK,2021-02-25,legacyofthewild,playtechvikings
White King 2,56,Playtech,4,SK,2021-02-25,whiteking2,playtech
Jungle Giants,57,Playtech,0,SK,2021-02-25,junglegiants,playtech
Gem Heat,58,Playtech,0,SK,2021-02-25,gemheat,playtech
Armed 'N' Wild,59,SYNOT,0,SK,2021-02-25,armednwild,synot
Book of Secrets,60,SYNOT,0,SK,2021-02-25,bookofsecrets,synot
Dragon Champions,61,Playtech,0,SK,2021-02-25,dragonchampions,playtech
Heart of the Frontier,62,Playtech,0,SK,2021-02-25,heartofthefrontier,playtech
Great Blue,63,Playtech,0,SK,2021-02-25,greatblue,playtech
Reel Sheriff,64,SYNOT,0,SK,2021-02-25,reelsheriff,synot
Cat Queen,65,Playtech,0,SK,2021-02-25,catqueen,playtech
Royal Respin Deluxe,66,Playtech,0,SK,2021-02-25,royalrespindeluxe,playtech
Diamond Bet Roulette,67,Playtech,0,SK,2021-02-25,diamondbetroulette,playtech
Spread Bet Roulette,68,Playtech,0,SK,2021-02-25,spreadbetroulette,playtech
Cashback Blackjack (Playtech),69,Playtech,0,SK,2021-02-25,cashbackblackjack,playtech
Joker Strong,70,KAJOT,4,SK,2021-02-25,jokerstrong,kajot
Fruiti XX,71,SYNOT,4,SK,2021-02-25,fruitixx,synot
Hot Africa,72,SYNOT,4,SK,2021-02-25,hotafrica,synot
Hell Mania,73,SYNOT,4,SK,2021-02-25,hellmania,synot
Vampire Bride,74,SYNOT,4,SK,2021-02-25,vampirebride,synot
Blazing Ice,75,SYNOT,4,SK,2021-02-25,blazingice,synot
Joker 27,76,KAJOT,4,SK,2021-02-25,joker27,kajot
9 Stars,77,KAJOT,4,SK,2021-02-25,9stars,kajot
Age of Egypt,78,Playtech,4,SK,2021-02-25,ageofegypt,playtech
Fruiti,79,SYNOT,4,SK,2021-02-25,fruiti,synot
100 Burning Hot,80,EGT,4,SK,2021-02-25,100burninghot,egt
Ways of the Phoenix,81,Playtech,4,SK,2021-02-25,waysofthephoenix,playtech
Wolves! Wolves! Wolves!,82,Playtech,4,SK,2021-02-25,wolveswolveswolves,playtech
Joker 40,83,SYNOT,4,SK,2021-02-25,joker40,synot
Sacred Stones,84,Playtech,4,SK,2021-02-25,sacredstones,playtech
Bonus Joker 2,85,Apollo Games,0,SK,2021-02-25,bonusjoker2,apollogames
Da Vinci's Vault,86,Playtech,0,SK,2021-02-25,davincisvault,playtech
Claws vs Paws,87,Playson,0,SK,2021-02-25,clawsvspaws,playson
Jokers Five,88,SYNOT,4,SK,2021-02-25,jokersfive,synot
Bonus Bears,89,Playtech,4,SK,2021-02-25,bonusbears,playtech
Upgradium,90,Playtech,4,SK,2021-02-25,upgradium,playtech
Pharaoh's Secrets,91,Playtech,4,SK,2021-02-25,pharaohssecrets,playtech
Vikings (Kajot Games),92,KAJOT,4,SK,2021-02-25,vikings,kajot
Big Shots,93,Playtech,4,SK,2021-02-25,bigshots,playtech
Maji Wilds,94,Playtech,4,SK,2021-02-25,majiwilds,playtech
Wild Warp,95,SYNOT,4,SK,2021-02-25,wildwarp,synot
Blood,96,Apollo Games,4,SK,2021-02-25,blood,apollogames
Supreme Hot,97,EGT,4,SK,2021-02-25,supremehot,egt
The Wild Job,98,SYNOT,4,SK,2021-02-25,thewildjob,synot
Book of Adventure,99,StakeLogic,4,SK,2021-02-25,bookofadventure,stakelogic
88 Pearls,100,SYNOT,4,SK,2021-02-25,88pearls,synot
