Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Sphinx Fortune,1,15,Booming Games,TH,2021-02-25,sphinxfortune,boominggames
Aztec Gems,2,17,Pragmatic Play,TH,2021-02-25,aztecgems,pragmaticplay
Reel Diamonds,3,15,1X2gaming,TH,2021-02-25,reeldiamonds,1x2gaming
Sevens & Books,4,9,Gamomat,TH,2021-02-25,sevensbooks,gamomat
High Roller Bonanza,5,4,Golden Hero,TH,2021-02-25,highrollerbonanza,goldenhero
Treasure Koi,6,9,Aspect Gaming,TH,2021-02-25,treasurekoi,aspectgaming
Rise Of Olympus,7,19,Play'n Go,TH,2021-02-25,riseofolympus,playngo
Moon Princess,8,20,Play'n Go,TH,2021-02-25,moonprincess,playngo
The Paying Piano Club,9,17,Play'n Go,TH,2021-02-25,thepayingpianoclub,playngo
243 Crystal Fruits,10,14,Tom Horn Gaming,TH,2021-02-25,243crystalfruits,tomhorngaming
Agent 51,11,10,Kalamba Games,TH,2021-02-25,agent51,kalambagames
Gemix,12,19,Play'n Go,TH,2021-02-25,gemix,playngo
Jin Qian Bao,13,9,Aspect Gaming,TH,2021-02-25,jinqianbao,aspectgaming
OYeah!,14,9,Concept Gaming,TH,2021-02-25,oyeah,conceptgaming
Lucky Bomber,15,8,GamePlay,TH,2021-02-25,luckybomber,gameplay
Phantom Thief,16,8,GamePlay,TH,2021-02-25,phantomthief,gameplay
Take 5,17,11,Gamomat,TH,2021-02-25,take5,gamomat
Thor's Vengeance,18,14,Red Tiger,TH,2021-02-25,thorsvengeance,redtiger
Sherlock Bones,19,9,Electric Elephant,TH,2021-02-25,sherlockbones,electricelephant
Unicorn Reels,20,14,Wazdan,TH,2021-02-25,unicornreels,wazdan
Caishen Wins,21,12,PG Soft,TH,2021-02-25,caishenwins,pgsoft
Mighty Tiger,22,9,Aspect Gaming,TH,2021-02-25,mightytiger,aspectgaming
Worm King,23,11,Cayetano Gaming,TH,2021-02-25,wormking,cayetanogaming
Blossom Garden,24,8,GamePlay,TH,2021-02-25,blossomgarden,gameplay
Mahjong Ways,25,12,PG Soft,TH,2021-02-25,mahjongways,pgsoft
Fancy Fruits,26,5,Gamomat,TH,2021-02-25,fancyfruits,gamomat
Labyrinth Of Knossos,27,11,Dream Tech,TH,2021-02-25,labyrinthofknossos,dreamtech
Dragon Treasure,28,9,Aspect Gaming,TH,2021-02-25,dragontreasure,aspectgaming
Book of Dead,29,20,Play'n Go,TH,2021-02-25,bookofdead,playngo
Gonzo's Quest Megaways,30,20,Red Tiger,TH,2021-02-25,gonzosquestmegaways,redtiger
Starburst,31,20,NetEnt,TH,2021-02-25,starburst,netent
The Dog House,32,23,Pragmatic Play,TH,2021-02-25,thedoghouse,pragmaticplay
Big Bass Bonanza,33,22,Reel Kingdom,TH,2021-02-25,bigbassbonanza,reelkingdom
Sweet Bonanza,34,23,Pragmatic Play,TH,2021-02-25,sweetbonanza,pragmaticplay
Elemental Princess,35,15,Dream Tech,TH,2021-02-25,elementalprincess,dreamtech
Fire 88,36,16,Pragmatic Play,TH,2021-02-25,fire88,pragmaticplay
Caishen's Cash,37,16,Pragmatic Play,TH,2021-02-25,caishenscash,pragmaticplay
Mega Wheel,38,6,Pragmatic Play,TH,2021-02-25,megawheel,pragmaticplay
East Coast vs West Coast,39,10,Nolimit City,TH,2021-02-25,eastcoastvswestcoast,nolimitcity
