Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,5,Play'n Go,TN,2021-02-25,bookofdead,playngo
Adventures Of Doubloon Island,2,4,Triple Edge Studios,TN,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Gonzo's Quest Megaways,3,4,Red Tiger,TN,2021-02-25,gonzosquestmegaways,redtiger
Joker King,4,4,Pragmatic Play,TN,2021-02-25,jokerking,pragmaticplay
Take The Bank,5,4,Betsoft,TN,2021-02-25,takethebank,betsoft
TikiPop,6,4,AvatarUX Studios,TN,2021-02-25,tikipop,avataruxstudios
Assassin Moon,7,4,Triple Edge Studios,TN,2021-02-25,assassinmoon,tripleedgestudios
Skulls Heap,8,4,GONG Gaming Technologies,TN,2021-02-25,skullsheap,gonggamingtechnologies
Sphinx Fortune,9,4,Booming Games,TN,2021-02-25,sphinxfortune,boominggames
Buffalo Power Hold and Win,10,4,Playson,TN,2021-02-25,buffalopowerholdandwin,playson
Lovely Lady Deluxe,11,4,Amatic Industries,TN,2021-02-25,lovelyladydeluxe,amaticindustries
The Paying Piano Club,12,4,Play'n Go,TN,2021-02-25,thepayingpianoclub,playngo
Wolf Gold,13,4,Pragmatic Play,TN,2021-02-25,wolfgold,pragmaticplay
100 Lucky Hat,14,4,EGT,TN,2021-02-25,100luckyhat,egt
Demi Gods IV,15,4,Spinomenal,TN,2021-02-25,demigodsiv,spinomenal
Ultra Hold and Spin,16,4,Reel Kingdom,TN,2021-02-25,ultraholdandspin,reelkingdom
4 Horsemen 2,17,4,Spinomenal,TN,2021-02-25,4horsemen2,spinomenal
Magic Merlin,18,4,Storm Gaming,TN,2021-02-25,magicmerlin,stormgaming
Millionaire Genie,19,4,GVG,TN,2021-02-25,millionairegenie,gvg
Curse of the Werewolf Megaways,20,4,Pragmatic Play,TN,2021-02-25,curseofthewerewolfmegaways,pragmaticplay
Elephant Stampede,21,4,Ruby Play,TN,2021-02-25,elephantstampede,rubyplay
Burning Hot,22,4,EGT,TN,2021-02-25,burninghot,egt
Cosmic Gems,23,4,2by2 Gaming,TN,2021-02-25,cosmicgems,2by2gaming
Book Of Tribes Reloaded,24,4,Spinomenal,TN,2021-02-25,bookoftribesreloaded,spinomenal
Sweet Bonanza,25,4,Pragmatic Play,TN,2021-02-25,sweetbonanza,pragmaticplay
Coco Tiki,26,4,Mancala Gaming,TN,2021-02-25,cocotiki,mancalagaming
Diego El Pibe De Oro,27,4,GameArt,TN,2021-02-25,diegoelpibedeoro,gameart
Safari Riches,28,4,888 Gaming,TN,2021-02-25,safaririches,888gaming
DJ Remix,29,0,Virtual Tech,TN,2021-02-25,djremix,virtualtech
Wicked 777,30,0,Skywind Group,TN,2021-02-25,wicked777,skywindgroup
Jungle Gorilla,31,0,Pragmatic Play,TN,2021-02-25,junglegorilla,pragmaticplay
Lucky 7 Betsoft,32,0,Betsoft,TN,2021-02-25,lucky7betsoft,betsoft
28 Mansions,33,0,Playtech,TN,2021-02-25,28mansions,playtech
Book of Diamonds,34,0,Spinomenal,TN,2021-02-25,bookofdiamonds,spinomenal
