Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,35,Play'n Go,TR,2021-02-25,bookofdead,playngo
Gonzo's Quest Megaways,2,33,Red Tiger,TR,2021-02-25,gonzosquestmegaways,redtiger
Starburst,3,34,NetEnt,TR,2021-02-25,starburst,netent
Gonzo's Quest,4,33,NetEnt,TR,2021-02-25,gonzosquest,netent
Joker King,5,30,Pragmatic Play,TR,2021-02-25,jokerking,pragmaticplay
The Paying Piano Club,6,28,Play'n Go,TR,2021-02-25,thepayingpianoclub,playngo
Lightning Roulette,7,15,Evolution Gaming,TR,2021-02-25,lightningroulette,evolutiongaming
Wolf Gold,8,34,Pragmatic Play,TR,2021-02-25,wolfgold,pragmaticplay
Razor Shark,9,23,Push Gaming,TR,2021-02-25,razorshark,pushgaming
Street Fighter 2: The World Warrior,10,27,NetEnt,TR,2021-02-25,streetfighter2theworldwarrior,netent
Thunder Of Olympus,11,22,Booongo,TR,2021-02-25,thunderofolympus,booongo
Book Of Demi Gods 2,12,23,Spinomenal,TR,2021-02-25,bookofdemigods2,spinomenal
Twin Spin,13,29,NetEnt,TR,2021-02-25,twinspin,netent
Adventures Of Doubloon Island,14,14,Triple Edge Studios,TR,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Rome The Golden Age,15,22,NetEnt,TR,2021-02-25,romethegoldenage,netent
Sweet Bonanza,16,33,Pragmatic Play,TR,2021-02-25,sweetbonanza,pragmaticplay
Valley Of The Gods 2,17,19,Yggdrasil,TR,2021-02-25,valleyofthegods2,yggdrasil
Dawn of Egypt,18,25,Play'n Go,TR,2021-02-25,dawnofegypt,playngo
TikiPop,19,8,AvatarUX Studios,TR,2021-02-25,tikipop,avataruxstudios
6 Tokens of Gold,20,18,All41 Studios,TR,2021-02-25,6tokensofgold,all41studios
Sakura Fortune,21,24,Quickspin,TR,2021-02-25,sakurafortune,quickspin
East Coast vs West Coast,22,19,Nolimit City,TR,2021-02-25,eastcoastvswestcoast,nolimitcity
Buddha Fortune Hold and Win,23,26,Booongo,TR,2021-02-25,buddhafortuneholdandwin,booongo
Immortal Romance,24,27,Microgaming,TR,2021-02-25,immortalromance,microgaming
Joker Pro,25,27,NetEnt,TR,2021-02-25,jokerpro,netent
Dragon Tiger First Person,26,22,Evolution Gaming,TR,2021-02-25,dragontigerfirstperson,evolutiongaming
Take Olympus,27,22,Betsoft,TR,2021-02-25,takeolympus,betsoft
Divine Fortune,28,24,NetEnt,TR,2021-02-25,divinefortune,netent
Bounty Belles,29,18,iSoftBet,TR,2021-02-25,bountybelles,isoftbet
Fire Joker,30,27,Play'n Go,TR,2021-02-25,firejoker,playngo
"Betty, Boris And Boo",31,26,Red Tiger,TR,2021-02-25,bettyborisandboo,redtiger
Queen of gold,32,29,Pragmatic Play,TR,2021-02-25,queenofgold,pragmaticplay
San Quentin,33,26,Nolimit City,TR,2021-02-25,sanquentin,nolimitcity
Titan Thunder: Wrath of Hades,34,24,Quickspin,TR,2021-02-25,titanthunderwrathofhades,quickspin
