Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,75,Play'n Go,UA,2021-02-25,bookofdead,playngo
Lovely Lady Deluxe,2,46,Amatic Industries,UA,2021-02-25,lovelyladydeluxe,amaticindustries
The Paying Piano Club,3,53,Play'n Go,UA,2021-02-25,thepayingpianoclub,playngo
Divine Fortune Megaways,4,63,NetEnt,UA,2021-02-25,divinefortunemegaways,netent
TikiPop,5,30,AvatarUX Studios,UA,2021-02-25,tikipop,avataruxstudios
Starburst,6,85,NetEnt,UA,2021-02-25,starburst,netent
Adventures Of Doubloon Island,7,39,Triple Edge Studios,UA,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Gonzo's Quest,8,83,NetEnt,UA,2021-02-25,gonzosquest,netent
Space Wars,9,61,NetEnt,UA,2021-02-25,spacewars,netent
Dead or Alive 2,10,85,NetEnt,UA,2021-02-25,deadoralive2,netent
Gonzo's Quest Megaways,11,57,Red Tiger,UA,2021-02-25,gonzosquestmegaways,redtiger
Skulls Heap,12,40,GONG Gaming Technologies,UA,2021-02-25,skullsheap,gonggamingtechnologies
Fruit Shop Megaways,13,50,NetEnt,UA,2021-02-25,fruitshopmegaways,netent
Sphinx Fortune,14,38,Booming Games,UA,2021-02-25,sphinxfortune,boominggames
Divine Fortune,15,51,NetEnt,UA,2021-02-25,divinefortune,netent
Legacy of Dead,16,61,Play'n Go,UA,2021-02-25,legacyofdead,playngo
9 Lions,17,53,Wazdan,UA,2021-02-25,9lions,wazdan
Eye of Gold,18,40,Booongo,UA,2021-02-25,eyeofgold,booongo
Twin Spin Megaways,19,53,NetEnt,UA,2021-02-25,twinspinmegaways,netent
Buffalo Power Hold and Win,20,48,Playson,UA,2021-02-25,buffalopowerholdandwin,playson
Sizzling 777 Deluxe,21,47,Wazdan,UA,2021-02-25,sizzling777deluxe,wazdan
Elephant Stampede,22,20,Ruby Play,UA,2021-02-25,elephantstampede,rubyplay
Howling Wolves,23,56,Booming Games,UA,2021-02-25,howlingwolves,boominggames
Solar Queen,24,50,Playson,UA,2021-02-25,solarqueen,playson
Supreme Hot,25,39,EGT,UA,2021-02-25,supremehot,egt
Unicorn Reels,26,37,Wazdan,UA,2021-02-25,unicornreels,wazdan
Super 15 Stars,27,21,Red Rake,UA,2021-02-25,super15stars,redrake
Telly Reels,28,45,Wazdan,UA,2021-02-25,tellyreels,wazdan
Butterfly Lovers,29,49,Wazdan,UA,2021-02-25,butterflylovers,wazdan
Zeus Rush Fever,30,19,Ruby Play,UA,2021-02-25,zeusrushfever,rubyplay
Book Of Aztec,31,51,Amatic Industries,UA,2021-02-25,bookofaztec,amaticindustries
Wild Animals,32,39,Red Rake,UA,2021-02-25,wildanimals,redrake
Book of Oz,33,65,Triple Edge Studios,UA,2021-02-25,bookofoz,tripleedgestudios
Loco Habanero,34,24,Ruby Play,UA,2021-02-25,locohabanero,rubyplay
Dark King Forbidden Riches,35,61,NetEnt,UA,2021-02-25,darkkingforbiddenriches,netent
Midas Golden Touch,36,60,Thunderkick,UA,2021-02-25,midasgoldentouch,thunderkick
Shake Shake Leprechaun,37,24,Ruby Play,UA,2021-02-25,shakeshakeleprechaun,rubyplay
Piggy Riches Megaways,38,48,Red Tiger,UA,2021-02-25,piggyrichesmegaways,redtiger
Fruit Million,39,34,BGAMING,UA,2021-02-25,fruitmillion,bgaming
Orbs of Atlantis,40,19,Habanero,UA,2021-02-25,orbsofatlantis,habanero
15 Dragon Pearls,41,43,Booongo,UA,2021-02-25,15dragonpearls,booongo
Dr Frankenstein,42,21,Ruby Play,UA,2021-02-25,drfrankenstein,rubyplay
Cupids Strike 2,43,38,Spinomenal,UA,2021-02-25,cupidsstrike2,spinomenal
Take Olympus,44,40,Betsoft,UA,2021-02-25,takeolympus,betsoft
Rome The Golden Age,45,41,NetEnt,UA,2021-02-25,romethegoldenage,netent
Golden Horns,46,56,Betsoft,UA,2021-02-25,goldenhorns,betsoft
Pirates Plenty The Sunken Treasure,47,49,Red Tiger,UA,2021-02-25,piratesplentythesunkentreasure,redtiger
Burning Hot,48,41,EGT,UA,2021-02-25,burninghot,egt
Extra Chilli,49,69,Big Time Gaming,UA,2021-02-25,extrachilli,bigtimegaming
Take The Bank,50,55,Betsoft,UA,2021-02-25,takethebank,betsoft
Gold Vein,51,57,Booming Games,UA,2021-02-25,goldvein,boominggames
Gem Splitter,52,34,Wazdan,UA,2021-02-25,gemsplitter,wazdan
6 Tokens of Gold,53,57,All41 Studios,UA,2021-02-25,6tokensofgold,all41studios
Treasure Mania,54,37,Evoplay Entertainment,UA,2021-02-25,treasuremania,evoplayentertainment
Sun of Egypt,55,41,Booongo,UA,2021-02-25,sunofegypt,booongo
Vegas Wins,56,52,Booming Games,UA,2021-02-25,vegaswins,boominggames
Hot Fruits 20,57,50,Amatic Industries,UA,2021-02-25,hotfruits20,amaticindustries
Blazing Tiger,58,20,Ruby Play,UA,2021-02-25,blazingtiger,rubyplay
Pyramid: Quest for Immortality,59,76,NetEnt,UA,2021-02-25,pyramidquestforimmortality,netent
Thunder Screech,60,50,Play'n Go,UA,2021-02-25,thunderscreech,playngo
Million 777,61,35,Red Rake,UA,2021-02-25,million777,redrake
Wild Wild West,62,76,NetEnt,UA,2021-02-25,wildwildwest,netent
Reactoonz 2,63,59,Play'n Go,UA,2021-02-25,reactoonz2,playngo
Alice in the Wild,64,23,Ruby Play,UA,2021-02-25,aliceinthewild,rubyplay
Hot Blizzard,65,36,Tom Horn Gaming,UA,2021-02-25,hotblizzard,tomhorngaming
Nordic Wild,66,13,Genii,UA,2021-02-25,nordicwild,genii
Larry the Leprechaun,67,46,Wazdan,UA,2021-02-25,larrytheleprechaun,wazdan
Mayan Cache,68,24,Ruby Play,UA,2021-02-25,mayancache,rubyplay
7 Chakras,69,13,Genii,UA,2021-02-25,7chakras,genii
Buddha Fortune Hold and Win,70,44,Booongo,UA,2021-02-25,buddhafortuneholdandwin,booongo
Tome of Madness,71,59,Play'n Go,UA,2021-02-25,tomeofmadness,playngo
Mother Of Horus,72,36,Red Rake,UA,2021-02-25,motherofhorus,redrake
Money Train 2,73,42,Relax Gaming,UA,2021-02-25,moneytrain2,relaxgaming
Ultimate Hot,74,39,EGT,UA,2021-02-25,ultimatehot,egt
Lucky Streak 3,75,49,Endorphina,UA,2021-02-25,luckystreak3,endorphina
Reactoonz,76,65,Play'n Go,UA,2021-02-25,reactoonz,playngo
3 Devils Pinball,77,42,Crazy Tooth Studio,UA,2021-02-25,3devilspinball,crazytoothstudio
Koi Princess,78,70,NetEnt,UA,2021-02-25,koiprincess,netent
Hotline 2,79,69,NetEnt,UA,2021-02-25,hotline2,netent
Bonanza,80,71,Big Time Gaming,UA,2021-02-25,bonanza,bigtimegaming
Sun of Egypt 2,81,23,Booongo,UA,2021-02-25,sunofegypt2,booongo
Crazy Time,82,29,Evolution Gaming,UA,2021-02-25,crazytime,evolutiongaming
Power of Gods: Egypt,83,37,Wazdan,UA,2021-02-25,powerofgodsegypt,wazdan
Gold X,84,20,Tom Horn Gaming,UA,2021-02-25,goldx,tomhorngaming
San Quentin,85,43,Nolimit City,UA,2021-02-25,sanquentin,nolimitcity
The Asp of Cleopatra,86,41,Red Rake,UA,2021-02-25,theaspofcleopatra,redrake
Sweet Crush,87,32,Tom Horn Gaming,UA,2021-02-25,sweetcrush,tomhorngaming
Mystery Reels,88,53,Red Tiger,UA,2021-02-25,mysteryreels,redtiger
Demi Gods IV,89,23,Spinomenal,UA,2021-02-25,demigodsiv,spinomenal
