Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Gods (BF games),1,6,BF games,VN,2021-02-25,bookofgods,bfgames
Book of Dead,2,18,Play'n Go,VN,2021-02-25,bookofdead,playngo
Take The Bank,3,16,Betsoft,VN,2021-02-25,takethebank,betsoft
Book of Sun: Choice,4,14,Booongo,VN,2021-02-25,bookofsunchoice,booongo
Joker King,5,15,Pragmatic Play,VN,2021-02-25,jokerking,pragmaticplay
Prissy Princess,6,14,Play'n Go,VN,2021-02-25,prissyprincess,playngo
Elephant Stampede,7,9,Ruby Play,VN,2021-02-25,elephantstampede,rubyplay
Book Of Tribes Reloaded,8,11,Spinomenal,VN,2021-02-25,bookoftribesreloaded,spinomenal
DJ Remix,9,8,Virtual Tech,VN,2021-02-25,djremix,virtualtech
Wilds of Wall Street 2,10,10,Spearhead Studios,VN,2021-02-25,wildsofwallstreet2,spearheadstudios
Lucky 7 Betsoft,11,15,Betsoft,VN,2021-02-25,lucky7betsoft,betsoft
Plata o Plomo,12,9,Spinmatic,VN,2021-02-25,plataoplomo,spinmatic
Potion Trick,13,9,Espresso Games,VN,2021-02-25,potiontrick,espressogames
Adventures Of Doubloon Island,14,14,Triple Edge Studios,VN,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
The Paying Piano Club,15,17,Play'n Go,VN,2021-02-25,thepayingpianoclub,playngo
Christmas Candy,16,10,KA Gaming,VN,2021-02-25,christmascandy,kagaming
Assassin Moon,17,16,Triple Edge Studios,VN,2021-02-25,assassinmoon,tripleedgestudios
Wealth of Wisdom,18,13,Platipus,VN,2021-02-25,wealthofwisdom,platipus
Gonzo's Quest Megaways,19,16,Red Tiger,VN,2021-02-25,gonzosquestmegaways,redtiger
Sin City Nights,20,15,Betsoft,VN,2021-02-25,sincitynights,betsoft
Agent 51,21,12,Kalamba Games,VN,2021-02-25,agent51,kalambagames
Madame Destiny Megaways,22,13,Pragmatic Play,VN,2021-02-25,madamedestinymegaways,pragmaticplay
Sphinx Fortune,23,17,Booming Games,VN,2021-02-25,sphinxfortune,boominggames
Sweet Bonanza,24,16,Pragmatic Play,VN,2021-02-25,sweetbonanza,pragmaticplay
Starburst,25,16,NetEnt,VN,2021-02-25,starburst,netent
Crystal Sun,26,15,Play'n Go,VN,2021-02-25,crystalsun,playngo
Cat Wilde and the Eclipse of the Sun God,27,17,Play'n Go,VN,2021-02-25,catwildeandtheeclipseofthesungod,playngo
Crazy Time,28,6,Evolution Gaming,VN,2021-02-25,crazytime,evolutiongaming
1st of the Irish,29,15,Red Rake,VN,2021-02-25,1stoftheirish,redrake
The Ancient Four,30,13,Platipus,VN,2021-02-25,theancientfour,platipus
Aztec Gems,31,18,Pragmatic Play,VN,2021-02-25,aztecgems,pragmaticplay
Book Of Rebirth Reloaded,32,13,Spinomenal,VN,2021-02-25,bookofrebirthreloaded,spinomenal
Stunning Hot Remastered,33,12,BF games,VN,2021-02-25,stunninghotremastered,bfgames
Star Settler,34,10,BF games,VN,2021-02-25,starsettler,bfgames
Divine Fortune Megaways,35,15,NetEnt,VN,2021-02-25,divinefortunemegaways,netent
Rainbow Wilds Megaways,36,10,IronDog,VN,2021-02-25,rainbowwildsmegaways,irondog
OYeah!,37,13,Concept Gaming,VN,2021-02-25,oyeah,conceptgaming
Hotline 2,38,16,NetEnt,VN,2021-02-25,hotline2,netent
Mighty Tiger,39,13,Aspect Gaming,VN,2021-02-25,mightytiger,aspectgaming
Super Rich God Hold and Win,40,6,Booongo,VN,2021-02-25,superrichgodholdandwin,booongo
Jin Qian Bao,41,13,Aspect Gaming,VN,2021-02-25,jinqianbao,aspectgaming
Cowboys Gold,42,14,Pragmatic Play,VN,2021-02-25,cowboysgold,pragmaticplay
Unicorn Reels,43,15,Wazdan,VN,2021-02-25,unicornreels,wazdan
Bonanza,44,17,Big Time Gaming,VN,2021-02-25,bonanza,bigtimegaming
Worm King,45,15,Cayetano Gaming,VN,2021-02-25,wormking,cayetanogaming
Hawaiian Night,46,13,Platipus,VN,2021-02-25,hawaiiannight,platipus
6 Tokens of Gold,47,17,All41 Studios,VN,2021-02-25,6tokensofgold,all41studios
Rome The Golden Age,48,7,NetEnt,VN,2021-02-25,romethegoldenage,netent
Big Bad Wolf Christmas Special,49,14,Quickspin,VN,2021-02-25,bigbadwolfchristmasspecial,quickspin
Rush Fever 7s,50,7,Ruby Play,VN,2021-02-25,rushfever7s,rubyplay
High Roller Bonanza,51,7,Golden Hero,VN,2021-02-25,highrollerbonanza,goldenhero
Reel Lucky Spins,52,6,Slot Factory,VN,2021-02-25,reelluckyspins,slotfactory
Opal Fruits,53,16,Big Time Gaming,VN,2021-02-25,opalfruits,bigtimegaming
Sevens & Books,54,9,Gamomat,VN,2021-02-25,sevensbooks,gamomat
TikiPop,55,5,AvatarUX Studios,VN,2021-02-25,tikipop,avataruxstudios
Reel Diamonds,56,15,1X2gaming,VN,2021-02-25,reeldiamonds,1x2gaming
Thor's Vengeance,57,17,Red Tiger,VN,2021-02-25,thorsvengeance,redtiger
Cosmic Gems,58,14,2by2 Gaming,VN,2021-02-25,cosmicgems,2by2gaming
Sherlock Bones,59,6,Electric Elephant,VN,2021-02-25,sherlockbones,electricelephant
Skulls Heap,60,15,GONG Gaming Technologies,VN,2021-02-25,skullsheap,gonggamingtechnologies
Book of Oz,61,17,Triple Edge Studios,VN,2021-02-25,bookofoz,tripleedgestudios
Labyrinth Of Knossos,62,14,Dream Tech,VN,2021-02-25,labyrinthofknossos,dreamtech
Quick Cash Fruits,63,4,NetGame,VN,2021-02-25,quickcashfruits,netgame
Treasure Koi,64,13,Aspect Gaming,VN,2021-02-25,treasurekoi,aspectgaming
Dragon Treasure,65,13,Aspect Gaming,VN,2021-02-25,dragontreasure,aspectgaming
Take Olympus,66,14,Betsoft,VN,2021-02-25,takeolympus,betsoft
Extra Chilli,67,18,Big Time Gaming,VN,2021-02-25,extrachilli,bigtimegaming
Lightning Roulette,68,4,Evolution Gaming,VN,2021-02-25,lightningroulette,evolutiongaming
John Hunter Tomb of the Scarab Queen,69,15,Pragmatic Play,VN,2021-02-25,johnhuntertombofthescarabqueen,pragmaticplay
Wolf Gold,70,16,Pragmatic Play,VN,2021-02-25,wolfgold,pragmaticplay
Mustang Gold,71,14,Pragmatic Play,VN,2021-02-25,mustanggold,pragmaticplay
The Dog House,72,16,Pragmatic Play,VN,2021-02-25,thedoghouse,pragmaticplay
Inferno Star,73,15,Play'n Go,VN,2021-02-25,infernostar,playngo
Dragon's Element,74,13,Platipus,VN,2021-02-25,dragonselement,platipus
Cupids Strike 2,75,13,Spinomenal,VN,2021-02-25,cupidsstrike2,spinomenal
Elemental Princess,76,16,Dream Tech,VN,2021-02-25,elementalprincess,dreamtech
Goddess Of Lotus,77,13,Spinomenal,VN,2021-02-25,goddessoflotus,spinomenal
Divine Dragon: Hold and Win,78,13,Playson,VN,2021-02-25,divinedragonholdandwin,playson
Andar Bahar (OneTouch),79,10,OneTouch,VN,2021-02-25,andarbahar,onetouch
Nian Nian You Yu,80,4,Playtech,VN,2021-02-25,niannianyouyu,playtech
Mega Moolah Isis,81,4,Microgaming,VN,2021-02-25,megamoolahisis,microgaming
Tropical Wilds,82,4,Rabcat,VN,2021-02-25,tropicalwilds,rabcat
Elvis Frog in Vegas,83,11,BGAMING,VN,2021-02-25,elvisfroginvegas,bgaming
The Hive,84,16,Betsoft,VN,2021-02-25,thehive,betsoft
Poker Teen Patti,85,12,Evoplay Entertainment,VN,2021-02-25,pokerteenpatti,evoplayentertainment
Anksunamun,86,12,Mascot Gaming,VN,2021-02-25,anksunamun,mascotgaming
Quantum Roulette,87,12,Playtech,VN,2021-02-25,quantumroulette,playtech
Super Diamond Deluxe,88,12,Blueprint,VN,2021-02-25,superdiamonddeluxe,blueprint
Fruit Million,89,11,BGAMING,VN,2021-02-25,fruitmillion,bgaming
Fire 88,90,18,Pragmatic Play,VN,2021-02-25,fire88,pragmaticplay
Long Jia Xiang Yun,91,18,Playtech,VN,2021-02-25,longjiaxiangyun,playtech
Maneki Fortunes,92,18,Skywind Group,VN,2021-02-25,manekifortunes,skywindgroup
Lucky Respin,93,18,Amatic Industries,VN,2021-02-25,luckyrespin,amaticindustries
