Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,46,Play'n Go,ZA,2021-02-25,bookofdead,playngo
Starburst,2,56,NetEnt,ZA,2021-02-25,starburst,netent
Gonzo's Quest Megaways,3,32,Red Tiger,ZA,2021-02-25,gonzosquestmegaways,redtiger
Fire Joker,4,39,Play'n Go,ZA,2021-02-25,firejoker,playngo
Gonzo's Quest,5,54,NetEnt,ZA,2021-02-25,gonzosquest,netent
Royal Seven XXL,6,25,Gamomat,ZA,2021-02-25,royalsevenxxl,gamomat
Rise Of Olympus,7,42,Play'n Go,ZA,2021-02-25,riseofolympus,playngo
Lightning Roulette,8,35,Evolution Gaming,ZA,2021-02-25,lightningroulette,evolutiongaming
Crazy Time,9,31,Evolution Gaming,ZA,2021-02-25,crazytime,evolutiongaming
Legacy of Dead,10,42,Play'n Go,ZA,2021-02-25,legacyofdead,playngo
Reactoonz 2,11,38,Play'n Go,ZA,2021-02-25,reactoonz2,playngo
Twin Spin,12,53,NetEnt,ZA,2021-02-25,twinspin,netent
Ramses Book,13,22,Gamomat,ZA,2021-02-25,ramsesbook,gamomat
Ruler of Egypt,14,11,Lady Luck Games,ZA,2021-02-25,rulerofegypt,ladyluckgames
Jokers Luck,15,13,Skywind Group,ZA,2021-02-25,jokersluck,skywindgroup
Fancy Fruits,16,21,Gamomat,ZA,2021-02-25,fancyfruits,gamomat
Weight of the Gun,17,11,Lady Luck Games,ZA,2021-02-25,weightofthegun,ladyluckgames
Crystal Ball,18,20,Gamomat,ZA,2021-02-25,crystalball,gamomat
Aloha! Cluster Pays,19,50,NetEnt,ZA,2021-02-25,alohaclusterpays,netent
Super Lion,20,13,Skywind Group,ZA,2021-02-25,superlion,skywindgroup
Reactoonz,21,39,Play'n Go,ZA,2021-02-25,reactoonz,playngo
Gold Vein,22,26,Booming Games,ZA,2021-02-25,goldvein,boominggames
Sugar Skull Spins,23,26,Slot Factory,ZA,2021-02-25,sugarskullspins,slotfactory
Cashed Away,24,26,Slot Factory,ZA,2021-02-25,cashedaway,slotfactory
Kingspin Crowns,25,26,Slot Factory,ZA,2021-02-25,kingspincrowns,slotfactory
Casino Nile,26,26,Slot Factory,ZA,2021-02-25,casinonile,slotfactory
Wild Diamond 7x,27,30,Booming Games,ZA,2021-02-25,wilddiamond7x,boominggames
Stack Spin Win,28,30,Intouch Games,ZA,2021-02-25,stackspinwin,intouchgames
Sticky Diamonds,29,19,Gamomat,ZA,2021-02-25,stickydiamonds,gamomat
Fancy Fruits Respins Of Amun-Re,30,19,Gamomat,ZA,2021-02-25,fancyfruitsrespinsofamunre,gamomat
Quickispin,31,19,Intouch Games,ZA,2021-02-25,quickispin,intouchgames
Take 5,32,22,Gamomat,ZA,2021-02-25,take5,gamomat
Wolf Gold,33,24,Pragmatic Play,ZA,2021-02-25,wolfgold,pragmaticplay
Monopoly Live,34,21,Evolution Gaming,ZA,2021-02-25,monopolylive,evolutiongaming
Books And Pearls,35,16,Gamomat,ZA,2021-02-25,booksandpearls,gamomat
Viking Lightning Spins,36,16,Slot Factory,ZA,2021-02-25,vikinglightningspins,slotfactory
Orango Tango,37,11,Lady Luck Games,ZA,2021-02-25,orangotango,ladyluckgames
Mandarin Queen,38,11,Slot Factory,ZA,2021-02-25,mandarinqueen,slotfactory
Money Ladder,39,11,Slot Factory,ZA,2021-02-25,moneyladder,slotfactory
Gold Digger,40,36,iSoftBet,ZA,2021-02-25,golddigger,isoftbet
Slots 4 Kings,41,36,Slot Factory,ZA,2021-02-25,slots4kings,slotfactory
Wild Diamond Wins,42,36,Slot Factory,ZA,2021-02-25,wilddiamondwins,slotfactory
Tomb Of The Wins,43,36,Slot Factory,ZA,2021-02-25,tombofthewins,slotfactory
Wild Funland,44,36,Slot Factory,ZA,2021-02-25,wildfunland,slotfactory
10001 Nights,45,22,Red Tiger,ZA,2021-02-25,10001nights,redtiger
Divine Fortune,46,47,NetEnt,ZA,2021-02-25,divinefortune,netent
Supernova Crush,47,47,Slot Factory,ZA,2021-02-25,supernovacrush,slotfactory
Power Blackjack,48,25,Evolution Gaming,ZA,2021-02-25,powerblackjack,evolutiongaming
Piggy Riches Megaways,49,31,Red Tiger,ZA,2021-02-25,piggyrichesmegaways,redtiger
Wild Treasure Reels,50,31,Slot Factory,ZA,2021-02-25,wildtreasurereels,slotfactory
Money Grows on Trees Christmas Edition,51,31,Slot Factory,ZA,2021-02-25,moneygrowsontreeschristmasedition,slotfactory
Speeding Reels,52,31,Slot Factory,ZA,2021-02-25,speedingreels,slotfactory
Mega Combo Cash (Slot Factory),53,31,Slot Factory,ZA,2021-02-25,megacombocash,slotfactory
Moon Princess,54,40,Play'n Go,ZA,2021-02-25,moonprincess,playngo
